,user_id,sex,birthday_year,membership_type,category_prefer,joined_date,deleted_date,join_path,os,recommended_cnt,age,days_from_joined,years_from_joined,if_deleted,label_from_km
33,e2VMuKZkFN9mIWL,0,1997,300,9,2018-06-09,NaT,1.0,IOS,2,25,937,2.6,0,1
34,X72TQfrfDZD02e3,0,1997,400,6,2018-06-22,NaT,0.0,IOS,2,25,924,2.5,0,1
35,0LWOOOQ6vpTCLxz,1,1993,500,3,2020-02-01,NaT,1.0,IOS,2,29,335,0.9,0,0
36,yHTWm1xO1j1atLG,1,1998,500,7,2019-12-31,NaT,0.0,IOS,3,24,367,1.0,0,0
37,Ul9mpYLVB9dLFku,1,1997,500,10,2020-11-30,NaT,0.0,IOS,0,25,32,0.1,0,0
38,MJy5xrlFOoQD9PL,1,1995,300,4,2019-05-15,NaT,0.0,AOS,1,27,597,1.6,0,0
39,1VLdSo4aPReXSLK,1,1993,500,5,2019-12-22,NaT,0.0,AOS,1,29,376,1.0,0,0
40,LZj097i7B1dTRBj,0,1998,300,2,2019-10-26,NaT,0.0,IOS,2,24,433,1.2,0,0
41,RaZcT7w0VObLNkP,0,1998,500,6,2020-02-23,NaT,0.0,AOS,1,24,313,0.9,0,0
42,pWXEZFGYflxGgGf,0,1997,300,5,2019-09-18,NaT,1.0,IOS,3,25,471,1.3,0,0
43,uwlSi1JXJhUF2pW,1,1996,300,11,2018-12-19,NaT,0.0,AOS,2,26,744,2.0,0,0
44,o3kfxOLTvdYHVba,1,1994,300,4,2018-09-23,NaT,1.0,AOS,1,28,831,2.3,0,1
45,AvHtck7GjVKJwb6,0,1995,300,7,2019-07-26,NaT,0.0,IOS,0,27,525,1.4,0,0
46,N1XXPDHW1MBeAJg,1,1997,300,10,2018-10-01,NaT,0.0,IOS,3,25,823,2.3,0,0
47,vkkTGUjCFeDCclu,1,1996,400,5,2017-10-01,NaT,0.0,AOS,3,26,1188,3.3,0,1
48,N88xAWbI7PHoD8z,0,1999,300,11,2018-08-17,NaT,0.0,IOS,4,23,868,2.4,0,1
49,woSTcY0L91ALTpe,0,2000,500,7,2020-01-19,NaT,0.0,AOS,2,22,348,1.0,0,0
50,65AvGJClBHkIIeS,1,2003,300,9,2019-01-05,NaT,0.0,IOS,5,19,727,2.0,0,0
51,mb579LqvyIl3O3N,0,1995,300,9,2016-01-23,NaT,0.0,AOS,3,27,1805,4.9,0,1
52,amAFPP1QnpkpLlq,0,1993,300,6,2019-09-15,NaT,0.0,AOS,2,29,474,1.3,0,0
53,Qze8vBbefoG75rc,1,1997,300,5,2018-05-13,NaT,0.0,AOS,3,25,964,2.6,0,1
54,v89pG24NCy77YXd,1,1999,300,7,2017-11-17,NaT,0.0,IOS,2,23,1141,3.1,0,1
55,DfXaazqPWY4Evl8,1,1994,300,4,2020-02-05,NaT,0.0,IOS,2,28,331,0.9,0,0
56,u4zq5UBO57DEVro,0,1995,400,3,2018-10-06,NaT,0.0,AOS,4,27,818,2.2,0,1
57,khWR79et5ZHKDHa,0,1998,500,5,2018-12-14,NaT,0.0,IOS,4,24,749,2.1,0,0
58,bpqo3NC22R0TjNm,0,1997,300,8,2020-06-29,NaT,0.0,AOS,3,25,186,0.5,0,0
59,khjKlk4jX0t4NVT,0,1998,400,1,2017-08-29,NaT,0.0,AOS,3,24,1221,3.3,0,1
60,XOI0tYVjGkrsPx2,0,1998,300,3,2018-05-27,NaT,0.0,IOS,3,24,950,2.6,0,1
61,sDlzIpr5woNgyUo,0,2000,300,6,2020-01-04,NaT,0.0,AOS,4,22,363,1.0,0,0
62,tM5pIGr6UcgEBd0,1,1993,300,3,2019-12-22,NaT,0.0,AOS,2,29,376,1.0,0,0
63,zNZrG3aSF9KWU9R,1,1998,300,7,2020-07-16,NaT,0.0,AOS,2,24,169,0.5,0,0
64,zaGcjFl13hOT153,1,1999,300,7,2019-05-16,NaT,0.0,IOS,1,23,596,1.6,0,0
65,gZU3pldLKjHff2r,0,1996,300,5,2020-07-09,NaT,0.0,IOS,3,26,176,0.5,0,0
66,irpFn6sK0krMpJJ,0,1995,300,6,2019-05-01,NaT,0.0,AOS,0,27,611,1.7,0,0
67,Nh0AYoAsTSYr2h4,1,1996,300,9,2020-01-14,NaT,0.0,AOS,4,26,353,1.0,0,0
68,SYQtzs79TnvlTfL,0,1996,300,2,2018-01-08,NaT,0.0,IOS,5,26,1089,3.0,0,1
69,7ZOngAVcoQX5oyv,1,1998,300,5,2017-02-18,NaT,0.0,AOS,5,24,1413,3.9,0,1
70,sTUWklJT4FTRoPe,1,1993,500,0,2019-01-27,NaT,1.0,AOS,0,29,705,1.9,0,0
71,qZUll3CRG9ZkmnZ,1,1996,300,7,2019-03-05,NaT,0.0,IOS,4,26,668,1.8,0,0
72,Z30mQdjJlJbu5JS,1,1995,300,5,2019-03-08,NaT,0.0,AOS,3,27,665,1.8,0,0
73,AH5CCtnyZH2pA7F,0,1994,300,3,2019-01-26,NaT,0.0,AOS,2,28,706,1.9,0,0
74,7G4UzA1blPr8urc,0,2000,300,8,2016-12-19,NaT,0.0,IOS,2,22,1474,4.0,0,1
75,MsyQnX6aJVdyI6P,0,1999,300,9,2019-09-17,NaT,0.0,AOS,1,23,472,1.3,0,0
76,PwB1wWp9plz0ES7,1,1997,300,8,2019-08-24,NaT,0.0,IOS,2,25,496,1.4,0,0
77,O8p10Ry3If512mD,0,1993,300,5,2019-12-31,NaT,0.0,IOS,0,29,367,1.0,0,0
78,AG5ih2o7PgClRyV,1,1995,300,13,2020-06-05,NaT,0.0,AOS,0,27,210,0.6,0,0
79,nt3BfRq7YjYwHHF,1,1997,300,10,2019-06-27,NaT,0.0,AOS,4,25,554,1.5,0,0
80,FboTNCG0INLZMIv,0,1994,500,5,2020-05-27,NaT,0.0,AOS,3,28,219,0.6,0,0
81,rGmQZ08pyAMXVvl,1,1992,500,3,2019-11-18,NaT,0.0,IOS,1,30,410,1.1,0,0
82,vFJULXmsDSkeN1E,0,1999,300,5,2020-01-19,NaT,0.0,AOS,4,23,348,1.0,0,0
83,2Rnewf2gMU39unT,1,1996,400,1,2018-05-31,NaT,0.0,AOS,3,26,946,2.6,0,1
84,ulfY1AzCCQF5o1m,1,1996,300,9,2016-09-05,NaT,0.0,AOS,5,26,1579,4.3,0,1
85,yuTSuqScOXBFAVl,1,1995,300,1,2019-07-31,NaT,0.0,AOS,2,27,520,1.4,0,0
86,lSV0Hq2ep1FPcey,1,2001,500,8,2018-08-01,NaT,0.0,AOS,5,21,884,2.4,0,1
87,hOamObs1cbzDA62,0,1994,300,4,2018-06-07,NaT,0.0,AOS,3,28,939,2.6,0,1
88,WYZHTVH0fgzA1F9,1,1995,300,3,2017-08-18,NaT,0.0,IOS,5,27,1232,3.4,0,1
89,BoAwSjwlqQv8qJl,0,1998,300,7,2018-04-29,NaT,0.0,IOS,1,24,978,2.7,0,1
90,h29KXeSaG8rT538,1,1995,300,4,2017-10-07,NaT,0.0,AOS,5,27,1182,3.2,0,1
91,GT0ay5US4KR6ozG,1,1991,300,1,2016-05-13,NaT,0.0,AOS,3,31,1694,4.6,0,1
92,dordZeU8MjNO5l8,1,1999,500,2,2020-05-12,NaT,0.0,AOS,2,23,234,0.6,0,0
93,kuO558lKabnwzed,0,1994,400,4,2018-02-06,NaT,1.0,AOS,2,28,1060,2.9,0,1
94,6lxVQYJqbxk5Jwl,1,1997,400,5,2018-01-21,NaT,1.0,AOS,6,25,1076,2.9,0,1
95,Osjq6oQ8E21HEty,1,1999,300,9,2020-06-27,NaT,0.0,AOS,1,23,188,0.5,0,0
96,XYaCh7851E87ahj,1,1997,400,1,2020-12-06,NaT,0.0,AOS,3,25,26,0.1,0,0
97,xcOqG7MVdTxe53N,0,1996,300,5,2019-08-16,NaT,0.0,AOS,1,26,504,1.4,0,0
98,lo8QQNsZNcnQJcg,1,1993,300,0,2020-01-22,NaT,0.0,AOS,0,29,345,0.9,0,0
99,l1nXys8aKuKNyiD,1,1999,500,0,2019-02-24,NaT,0.0,IOS,5,23,677,1.9,0,0
100,RsRmYAD21Z3wiVc,1,1997,500,6,2020-02-21,NaT,0.0,AOS,2,25,315,0.9,0,0
101,SlniJY1OUAUxYjz,1,1995,400,6,2020-10-18,NaT,0.0,AOS,0,27,75,0.2,0,0
102,s2lSkY3gkbwP1ow,1,1999,300,5,2020-03-14,NaT,0.0,IOS,0,23,293,0.8,0,0
103,kwIkyidB1Qn7LNE,0,1998,400,9,2019-11-07,NaT,0.0,IOS,4,24,421,1.2,0,0
104,KFTSDFDTYLmd4Lq,1,1996,300,4,2018-11-13,NaT,0.0,AOS,3,26,780,2.1,0,0
105,TDWw3eG8dSSSymU,1,1995,400,8,2019-11-13,NaT,0.0,AOS,2,27,415,1.1,0,0
106,fpyLvfPPtG6kwh0,1,1997,400,6,2019-07-17,NaT,0.0,AOS,3,25,534,1.5,0,0
107,x5IpUBq2VXRkxP5,0,1994,300,3,2019-05-23,NaT,0.0,AOS,1,28,589,1.6,0,0
108,tmqIRcmoYqvyIWd,1,1995,300,6,2020-09-16,NaT,0.0,AOS,1,27,107,0.3,0,0
109,lmmfEXBNLN8dfjU,0,1996,300,6,2019-03-01,NaT,1.0,AOS,2,26,672,1.8,0,0
110,oDOTtEwPIzqouti,1,1996,500,5,2018-07-08,NaT,0.0,IOS,1,26,908,2.5,0,1
111,2K0FZSG86CXrzib,0,2001,500,8,2019-12-21,NaT,0.0,AOS,0,21,377,1.0,0,0
112,gzzdbq3AJEJMa59,1,2000,300,10,2020-08-28,NaT,0.0,IOS,0,22,126,0.3,0,0
113,daOHajAODpaGGhD,1,1998,500,6,2020-03-03,NaT,0.0,AOS,3,24,304,0.8,0,0
114,VOhEeYeLFpovj50,0,1995,300,5,2017-05-13,NaT,0.0,AOS,1,27,1329,3.6,0,1
115,2IM1IYXvc862cm9,1,1997,300,10,2017-05-19,NaT,0.0,AOS,2,25,1323,3.6,0,1
116,cjd4wSUICQMEA3U,0,1995,400,11,2019-06-24,2020-11-10,0.0,AOS,2,27,557,1.5,1,0
117,qEiPNROdPZRFzEU,0,1998,300,5,2018-08-03,NaT,0.0,AOS,4,24,882,2.4,0,1
118,GRRkGd0ANEa6dxq,1,1997,500,7,2019-07-21,NaT,1.0,AOS,2,25,530,1.5,0,0
119,rlff7E1UGsrK3si,1,1998,300,10,2020-05-27,NaT,0.0,IOS,2,24,219,0.6,0,0
120,LADrSNAJBZ9CRjF,0,1997,400,4,2018-05-17,NaT,0.0,AOS,5,25,960,2.6,0,1
121,QQDKKvNjvMINLNR,1,1993,300,5,2019-12-22,NaT,1.0,AOS,0,29,376,1.0,0,0
122,xFT0RrOpHgnIBIN,0,1996,500,4,2017-03-02,NaT,0.0,AOS,2,26,1401,3.8,0,1
123,ZaNDQx8cZjECfsW,1,1993,300,7,2017-12-29,NaT,1.0,AOS,1,29,1099,3.0,0,1
124,Nv3k4JM0YrHMOYP,1,1995,500,7,2019-09-09,NaT,0.0,AOS,1,27,480,1.3,0,0
125,Z4IXyO9ChX5QCee,0,1997,400,7,2019-01-21,NaT,1.0,AOS,1,25,711,1.9,0,0
126,FQbXyhS6QzreKZw,1,2000,500,7,2018-07-19,NaT,0.0,IOS,3,22,897,2.5,0,1
127,M5YRgKEIj2m5H2U,1,1994,300,2,2020-02-24,NaT,0.0,AOS,2,28,312,0.9,0,0
128,WTcvE8FgJvii7Du,0,1996,500,7,2019-08-18,NaT,0.0,AOS,3,26,502,1.4,0,0
129,4Fqa9acorZIol8f,1,1999,300,6,2019-06-08,NaT,0.0,AOS,4,23,573,1.6,0,0
130,Ynl8ay40K7gpDss,1,2000,500,6,2020-03-10,NaT,1.0,AOS,5,22,297,0.8,0,0
131,pBS6w6CmBGf0JhN,0,1996,500,4,2020-12-26,NaT,0.0,IOS,1,26,6,0.0,0,0
132,RkKAlsuj2kceJzo,1,1993,300,1,2019-10-18,NaT,1.0,AOS,0,29,441,1.2,0,0
133,3LQruiIPItnIjcB,1,1996,400,8,2020-05-28,NaT,0.0,IOS,2,26,218,0.6,0,0
134,2zrfgqLzw07pmW3,0,1995,300,3,2018-03-01,NaT,0.0,IOS,1,27,1037,2.8,0,1
135,ROVgPYr0QcgqUvZ,0,1999,500,7,2018-02-26,NaT,0.0,IOS,3,23,1040,2.8,0,1
136,Q9R56AvCFuLqFMS,1,1994,300,8,2019-06-03,NaT,0.0,AOS,2,28,578,1.6,0,0
137,RVLXX3x71ZAOogz,0,1996,300,1,2017-07-09,NaT,0.0,AOS,4,26,1272,3.5,0,1
138,xtTgPgVML4iNVqK,1,1998,400,7,2020-06-22,NaT,0.0,AOS,1,24,193,0.5,0,0
139,cv2apFHPr5zl0NW,0,1996,300,3,2019-03-05,NaT,0.0,IOS,2,26,668,1.8,0,0
140,5qqG9YlC5ncnVQP,1,1999,300,14,2019-09-19,NaT,0.0,AOS,5,23,470,1.3,0,0
141,sNeND4iWJks0Lq5,1,1994,500,5,2019-03-27,NaT,0.0,AOS,3,28,646,1.8,0,0
142,OV4utsMhF8Gy5BR,0,1997,300,5,2020-10-29,NaT,0.0,IOS,4,25,64,0.2,0,0
143,94epxvXae21hbCk,1,1997,300,5,2018-04-07,NaT,1.0,IOS,3,25,1000,2.7,0,1
144,5x0DjKoYASSz2p6,1,1994,300,2,2018-08-21,NaT,1.0,AOS,0,28,864,2.4,0,1
145,pj2ikncDQrh5xAC,0,1996,300,8,2018-03-26,NaT,0.0,AOS,2,26,1012,2.8,0,1
146,VUXfz4vcX4WUVhq,1,1996,300,3,2020-10-26,NaT,0.0,AOS,0,26,67,0.2,0,0
147,Ow4D7VKMOhaER8d,1,2000,300,10,2020-11-17,NaT,0.0,IOS,2,22,45,0.1,0,0
148,YcNjwG4j7AkTG4x,0,1997,500,5,2017-06-18,NaT,0.0,AOS,2,25,1293,3.5,0,1
149,CziaNfHe8ItjGjL,1,1996,300,3,2020-01-31,NaT,0.0,IOS,0,26,336,0.9,0,0
150,0ubsoUGKRpLAGu0,1,1999,300,8,2018-01-17,NaT,0.0,AOS,2,23,1080,3.0,0,1
151,vidzCpGQpPjOory,0,2000,300,7,2018-08-16,NaT,0.0,AOS,3,22,869,2.4,0,1
152,2pRZryMuKfiNdLF,1,1995,300,6,2020-09-27,NaT,0.0,AOS,2,27,96,0.3,0,0
153,ZIhuKNH4KGaSrKq,0,1999,300,11,2018-06-02,NaT,0.0,AOS,3,23,944,2.6,0,1
154,nvlmDOpHb36TnF9,0,1996,300,7,2020-06-08,NaT,0.0,AOS,2,26,207,0.6,0,0
155,5vKFkth7CfXMXUx,1,1996,300,4,2016-09-23,NaT,1.0,AOS,4,26,1561,4.3,0,1
156,En7l3O0HNwG2OuG,0,1994,300,0,2018-09-01,NaT,1.0,IOS,4,28,853,2.3,0,1
157,GWQZL1xJalJQUDt,1,1995,300,2,2018-04-08,NaT,0.0,AOS,5,27,999,2.7,0,1
158,MLhWb5hzR309Ram,1,1993,300,7,2017-11-30,NaT,0.0,IOS,4,29,1128,3.1,0,1
159,FtR1LKgfjltgw4L,0,1995,400,1,2019-04-05,NaT,0.0,AOS,0,27,637,1.7,0,0
160,thvMCWVEnKNkNaM,0,1995,500,7,2018-08-05,NaT,0.0,AOS,3,27,880,2.4,0,1
161,oLbIdARnMPd2ArB,1,1998,400,13,2019-12-13,NaT,0.0,AOS,2,24,385,1.1,0,0
162,oE4m7MyVKq8xyf5,1,1997,300,9,2019-10-24,NaT,0.0,IOS,2,25,435,1.2,0,0
163,b7EVbK27bzs4cyj,1,1995,400,5,2017-12-30,NaT,0.0,AOS,2,27,1098,3.0,0,1
164,PXEJ2bGGAz2jDRB,1,1993,300,6,2017-05-31,NaT,1.0,AOS,4,29,1311,3.6,0,1
165,ymLxozDNkBbkm4T,0,1998,300,2,2019-06-04,NaT,0.0,AOS,2,24,577,1.6,0,0
166,imtvPYFuNVzY3uN,0,1997,400,5,2017-02-28,NaT,0.0,AOS,4,25,1403,3.8,0,1
167,qjcOsQYEe7yfwTw,0,1996,500,4,2020-06-08,NaT,0.0,IOS,5,26,207,0.6,0,0
168,CceTAUmafpM400n,1,1996,400,6,2019-07-17,NaT,0.0,AOS,4,26,534,1.5,0,0
169,idGTArP4O7V0AQo,0,1999,300,9,2016-05-09,NaT,0.0,AOS,5,23,1698,4.6,0,1
170,8zfF9JPjBINmXtF,1,1999,400,5,2019-06-24,NaT,0.0,IOS,4,23,557,1.5,0,0
171,E9eo36hHhIwlVqR,0,1997,300,2,2017-07-17,NaT,0.0,AOS,4,25,1264,3.5,0,1
172,T2kwHzMMZCGGpSq,0,1997,500,10,2018-08-27,NaT,0.0,AOS,1,25,858,2.3,0,1
173,LCSoJnAaHPsNcdb,0,1996,300,6,2017-10-23,NaT,0.0,AOS,6,26,1166,3.2,0,1
174,EEMCsYvvomIzLFy,1,1995,500,5,2019-02-02,NaT,0.0,AOS,1,27,699,1.9,0,0
175,wHlFZOSEGRx1usl,1,1996,300,3,2019-04-27,NaT,0.0,AOS,1,26,615,1.7,0,0
176,VfRIM9oeN3SHEqg,0,1992,300,1,2017-05-28,NaT,0.0,AOS,0,30,1314,3.6,0,1
177,YAlWPIx82cBx8Xo,1,1991,300,0,2020-01-16,NaT,0.0,AOS,2,31,351,1.0,0,0
178,jwZrLMVp6ixFxw3,0,1990,500,9,2019-04-08,NaT,0.0,AOS,0,32,634,1.7,0,0
179,5h7Qzj3iRDIRhL6,1,1996,300,12,2017-01-21,NaT,0.0,AOS,0,26,1441,3.9,0,1
180,Ov7QDn0lBEAfuER,1,1992,400,0,2018-08-26,NaT,0.0,AOS,0,30,859,2.4,0,1
181,EeTHH9s0PUB9DBv,1,1989,300,3,2017-10-26,NaT,0.0,AOS,8,33,1163,3.2,0,1
182,NJhMm5AE6DlRiYX,1,1985,300,8,2018-01-26,NaT,0.0,IOS,0,37,1071,2.9,0,1
183,PXTZi2W82xCmMrL,1,1991,500,3,2018-02-21,NaT,0.0,IOS,1,31,1045,2.9,0,1
184,pPMEDEhDUfSpdvY,1,1989,300,3,2017-07-12,NaT,0.0,AOS,0,33,1269,3.5,0,1
185,rVZWRC3wlnM83Yl,1,1995,500,0,2019-05-10,NaT,0.0,AOS,0,27,602,1.6,0,0
186,lz6lUFJyQvnjgeH,1,1992,300,1,2016-11-11,NaT,0.0,IOS,6,30,1512,4.1,0,1
187,7ig0z4DP8ruFLqL,0,1995,500,0,2019-10-04,NaT,0.0,AOS,0,27,455,1.2,0,0
188,r3misnxxxgqm7GT,0,1990,500,3,2020-02-24,NaT,0.0,AOS,11,32,312,0.9,0,0
189,RLc2Tz9vMiwvBmq,1,1990,500,1,2017-01-28,NaT,0.0,AOS,1,32,1434,3.9,0,1
190,QqpCYX0DRmmqOkS,0,1991,300,9,2019-12-28,NaT,0.0,IOS,1,31,370,1.0,0,0
191,uyQ1173pq45WT9Z,0,1995,300,6,2020-03-11,NaT,0.0,IOS,4,27,296,0.8,0,0
192,Sy5yWUHWF7tLyvY,0,1989,300,9,2018-02-16,NaT,0.0,AOS,5,33,1050,2.9,0,1
193,ZPqmjKEWASaEV37,1,1988,300,8,2018-07-26,NaT,0.0,IOS,0,34,890,2.4,0,1
194,xAcfOpo1zCOfT37,1,1994,400,5,2019-10-23,NaT,0.0,IOS,3,28,436,1.2,0,0
195,I1VjisiTA1xh7Gx,0,1990,400,6,2019-09-07,NaT,1.0,AOS,0,32,482,1.3,0,0
196,EEHyf4VUEubWLqb,1,1990,400,5,2020-11-01,NaT,0.0,AOS,7,32,61,0.2,0,0
197,obtLpHgC7GpWIl9,1,1988,300,0,2020-05-07,NaT,0.0,AOS,1,34,239,0.7,0,2
198,vnqazlpHlUFgpCZ,1,1991,300,0,2017-11-29,NaT,0.0,AOS,2,31,1129,3.1,0,1
199,Vh0nTjG3SkKExW1,0,1993,300,3,2020-01-23,NaT,0.0,AOS,0,29,344,0.9,0,0
200,JhZ9HvysIbjizqR,0,1991,500,3,2018-08-19,NaT,0.0,AOS,0,31,866,2.4,0,1
201,lUJdgxMECqK3cZa,0,1991,400,0,2019-05-15,NaT,0.0,AOS,5,31,597,1.6,0,0
202,yEnTZmI5csNJ8op,0,1992,400,5,2017-08-10,NaT,0.0,IOS,5,30,1240,3.4,0,1
203,lV4SZWTQ7UBjfqa,0,1990,500,12,2016-04-26,NaT,0.0,IOS,0,32,1711,4.7,0,1
204,HUeVWe265JDNYrP,1,1989,300,7,2016-11-29,NaT,0.0,AOS,2,33,1494,4.1,0,1
205,r0u8X1WhspZJ0WA,1,1993,400,6,2020-07-09,NaT,0.0,IOS,3,29,176,0.5,0,0
206,AiokTO0yG2x01zA,1,1989,300,6,2019-06-11,NaT,0.0,IOS,0,33,570,1.6,0,0
207,NEDaTlyW02tLVLj,0,1993,300,4,2019-04-21,NaT,0.0,AOS,2,29,621,1.7,0,0
208,6yd1zkMZHUtxOVR,1,1988,400,3,2017-06-25,NaT,0.0,AOS,3,34,1286,3.5,0,1
209,L8cXItZIRFhBqxH,1,1992,300,10,2018-08-11,NaT,0.0,IOS,0,30,874,2.4,0,1
210,IIoKXQBOGoBq3HG,0,1992,300,5,2018-01-04,NaT,0.0,AOS,0,30,1093,3.0,0,1
211,pdPL5bc7Tv9n9O8,1,1987,300,2,2018-08-26,NaT,0.0,AOS,0,35,859,2.4,0,1
212,PCctWvQpBpNHzQO,0,1990,500,7,2018-03-24,NaT,0.0,AOS,0,32,1014,2.8,0,1
213,K1YJFhIe22strRn,1,1993,300,9,2019-10-24,NaT,0.0,AOS,8,29,435,1.2,0,0
214,Dx0vYoEopQZcrUf,1,1993,300,4,2017-11-03,NaT,0.0,AOS,0,29,1155,3.2,0,1
215,tfK5JZ0L7SqlWhf,0,1991,500,7,2017-09-27,NaT,0.0,IOS,6,31,1192,3.3,0,1
216,LN46tmMHJHXmlYd,0,1990,300,9,2017-02-09,NaT,1.0,AOS,5,32,1422,3.9,0,1
217,LNclUSHVWkaM7ck,1,1992,500,6,2018-10-29,NaT,0.0,IOS,9,30,795,2.2,0,1
218,pCn4cAgFJiSAzWC,1,1989,300,1,2018-08-02,NaT,0.0,AOS,9,33,883,2.4,0,1
219,hbDutw14OjzjjL2,1,1991,300,7,2016-11-10,NaT,0.0,IOS,0,31,1513,4.1,0,1
220,p70XUjALoYgeBAO,1,1989,400,1,2019-06-20,NaT,0.0,AOS,0,33,561,1.5,0,2
221,Cp2vUfxqPjJGQvO,1,1989,300,0,2019-04-26,NaT,1.0,AOS,0,33,616,1.7,0,2
222,2WisYAi5CzX6HXy,0,1992,500,6,2017-06-22,NaT,0.0,AOS,6,30,1289,3.5,0,1
223,RAWfvlM0H50rabn,1,1993,300,6,2016-12-28,NaT,0.0,AOS,0,29,1465,4.0,0,1
224,d03bA7Dq577ZRg8,1,1993,300,6,2020-04-14,NaT,0.0,IOS,10,29,262,0.7,0,0
225,c3maHCkINnTUcTG,1,1991,300,8,2018-08-06,NaT,0.0,IOS,0,31,879,2.4,0,1
226,nskjt6fhxAGoGnH,1,1991,300,6,2017-10-28,NaT,0.0,AOS,8,31,1161,3.2,0,1
227,QstL4CgGEv3sCSE,0,1992,300,3,2018-03-19,NaT,0.0,IOS,5,30,1019,2.8,0,1
228,ScB7r92o9hv9pCI,1,1991,400,0,2017-05-06,NaT,0.0,IOS,0,31,1336,3.7,0,1
229,AyE3YpNLi0gPdIb,0,1993,500,5,2018-12-27,NaT,0.0,IOS,3,29,736,2.0,0,0
230,3gQtQnCL7vSq42s,0,1991,300,6,2016-11-25,NaT,0.0,AOS,0,31,1498,4.1,0,1
231,bYBe6CSKTv7t28a,1,1988,300,8,2018-05-10,NaT,0.0,IOS,3,34,967,2.6,0,1
