user_id,sex,birthday_year,membership_type,category_prefer,joined_date,deleted_date,join_path,os,recommended_cnt
FboTNCG0INLZMIv,0,1994,500,5,2020-05-27,NaT,,AOS,3
rGmQZ08pyAMXVvl,1,1992,500,3,2019-11-18,NaT,,IOS,1
vFJULXmsDSkeN1E,0,1999,300,5,2020-01-19,NaT,,AOS,4
2Rnewf2gMU39unT,1,1996,400,1,2018-05-31,NaT,,AOS,3
ulfY1AzCCQF5o1m,1,1996,300,9,2016-09-05,NaT,,AOS,5
yuTSuqScOXBFAVl,1,1995,300,1,2019-07-31,NaT,,AOS,2
lSV0Hq2ep1FPcey,1,2001,500,8,2018-08-01,NaT,,AOS,5
hOamObs1cbzDA62,0,1994,300,4,2018-06-07,NaT,,AOS,3
WYZHTVH0fgzA1F9,1,1995,300,3,2017-08-18,NaT,,IOS,5
BoAwSjwlqQv8qJl,0,1998,300,7,2018-04-29,NaT,,IOS,1
h29KXeSaG8rT538,1,1995,300,4,2017-10-07,NaT,,AOS,5
GT0ay5US4KR6ozG,1,1991,300,1,2016-05-13,NaT,,AOS,3
dordZeU8MjNO5l8,1,1999,500,2,2020-05-12,NaT,,AOS,2
kuO558lKabnwzed,0,1994,400,4,2018-02-06,NaT,1,AOS,2
6lxVQYJqbxk5Jwl,1,1997,400,5,2018-01-21,NaT,1,AOS,6
Osjq6oQ8E21HEty,1,1999,300,9,2020-06-27,NaT,,AOS,1
XYaCh7851E87ahj,1,1997,400,1,2020-12-06,NaT,,AOS,3
xcOqG7MVdTxe53N,0,1996,300,5,2019-08-16,NaT,,AOS,1
lo8QQNsZNcnQJcg,1,1993,300,0,2020-01-22,NaT,,AOS,0
l1nXys8aKuKNyiD,1,1999,500,0,2019-02-24,NaT,,IOS,5
RsRmYAD21Z3wiVc,1,1997,500,6,2020-02-21,NaT,,AOS,2
SlniJY1OUAUxYjz,1,1995,400,6,2020-10-18,NaT,,AOS,0
s2lSkY3gkbwP1ow,1,1999,300,5,2020-03-14,NaT,,IOS,0
kwIkyidB1Qn7LNE,0,1998,400,9,2019-11-07,NaT,,IOS,4
KFTSDFDTYLmd4Lq,1,1996,300,4,2018-11-13,NaT,,AOS,3
TDWw3eG8dSSSymU,1,1995,400,8,2019-11-13,NaT,,AOS,2
fpyLvfPPtG6kwh0,1,1997,400,6,2019-07-17,NaT,,AOS,3
x5IpUBq2VXRkxP5,0,1994,300,3,2019-05-23,NaT,,AOS,1
tmqIRcmoYqvyIWd,1,1995,300,6,2020-09-16,NaT,,AOS,1
lmmfEXBNLN8dfjU,0,1996,300,6,2019-03-01,NaT,1,AOS,2
oDOTtEwPIzqouti,1,1996,500,5,2018-07-08,NaT,,IOS,1
2K0FZSG86CXrzib,0,2001,500,8,2019-12-21,NaT,,AOS,0
gzzdbq3AJEJMa59,1,2000,300,10,2020-08-28,NaT,,IOS,0
daOHajAODpaGGhD,1,1998,500,6,2020-03-03,NaT,,AOS,3
VOhEeYeLFpovj50,0,1995,300,5,2017-05-13,NaT,,AOS,1
2IM1IYXvc862cm9,1,1997,300,10,2017-05-19,NaT,,AOS,2
cjd4wSUICQMEA3U,0,1995,400,11,2019-06-24,2020-11-10,,AOS,2
qEiPNROdPZRFzEU,0,1998,300,5,2018-08-03,NaT,,AOS,4
GRRkGd0ANEa6dxq,1,1997,500,7,2019-07-21,NaT,1,AOS,2
rlff7E1UGsrK3si,1,1998,300,10,2020-05-27,NaT,,IOS,2
LADrSNAJBZ9CRjF,0,1997,400,4,2018-05-17,NaT,,AOS,5
QQDKKvNjvMINLNR,1,1993,300,5,2019-12-22,NaT,1,AOS,0
xFT0RrOpHgnIBIN,0,1996,500,4,2017-03-02,NaT,,AOS,2
ZaNDQx8cZjECfsW,1,1993,300,7,2017-12-29,NaT,1,AOS,1
Nv3k4JM0YrHMOYP,1,1995,500,7,2019-09-09,NaT,,AOS,1
Z4IXyO9ChX5QCee,0,1997,400,7,2019-01-21,NaT,1,AOS,1
FQbXyhS6QzreKZw,1,2000,500,7,2018-07-19,NaT,,IOS,3
M5YRgKEIj2m5H2U,1,1994,300,2,2020-02-24,NaT,,AOS,2
WTcvE8FgJvii7Du,0,1996,500,7,2019-08-18,NaT,,AOS,3
4Fqa9acorZIol8f,1,1999,300,6,2019-06-08,NaT,,AOS,4
Ynl8ay40K7gpDss,1,2000,500,6,2020-03-10,NaT,1,AOS,5
pBS6w6CmBGf0JhN,0,1996,500,4,2020-12-26,NaT,,IOS,1
RkKAlsuj2kceJzo,1,1993,300,1,2019-10-18,NaT,1,AOS,0
3LQruiIPItnIjcB,1,1996,400,8,2020-05-28,NaT,,IOS,2
2zrfgqLzw07pmW3,0,1995,300,3,2018-03-01,NaT,,IOS,1
ROVgPYr0QcgqUvZ,0,1999,500,7,2018-02-26,NaT,,IOS,3
Q9R56AvCFuLqFMS,1,1994,300,8,2019-06-03,NaT,,AOS,2
RVLXX3x71ZAOogz,0,1996,300,1,2017-07-09,NaT,,AOS,4
xtTgPgVML4iNVqK,1,1998,400,7,2020-06-22,NaT,,AOS,1
cv2apFHPr5zl0NW,0,1996,300,3,2019-03-05,NaT,,IOS,2
5qqG9YlC5ncnVQP,1,1999,300,14,2019-09-19,NaT,,AOS,5
sNeND4iWJks0Lq5,1,1994,500,5,2019-03-27,NaT,,AOS,3
OV4utsMhF8Gy5BR,0,1997,300,5,2020-10-29,NaT,,IOS,4
94epxvXae21hbCk,1,1997,300,5,2018-04-07,NaT,1,IOS,3
5x0DjKoYASSz2p6,1,1994,300,2,2018-08-21,NaT,1,AOS,0
pj2ikncDQrh5xAC,0,1996,300,8,2018-03-26,NaT,,AOS,2
VUXfz4vcX4WUVhq,1,1996,300,3,2020-10-26,NaT,,AOS,0
Ow4D7VKMOhaER8d,1,2000,300,10,2020-11-17,NaT,,IOS,2
YcNjwG4j7AkTG4x,0,1997,500,5,2017-06-18,NaT,,AOS,2
CziaNfHe8ItjGjL,1,1996,300,3,2020-01-31,NaT,,IOS,0
0ubsoUGKRpLAGu0,1,1999,300,8,2018-01-17,NaT,,AOS,2
vidzCpGQpPjOory,0,2000,300,7,2018-08-16,NaT,,AOS,3
2pRZryMuKfiNdLF,1,1995,300,6,2020-09-27,NaT,,AOS,2
ZIhuKNH4KGaSrKq,0,1999,300,11,2018-06-02,NaT,,AOS,3
nvlmDOpHb36TnF9,0,1996,300,7,2020-06-08,NaT,,AOS,2
5vKFkth7CfXMXUx,1,1996,300,4,2016-09-23,NaT,1,AOS,4
En7l3O0HNwG2OuG,0,1994,300,0,2018-09-01,NaT,1,IOS,4
GWQZL1xJalJQUDt,1,1995,300,2,2018-04-08,NaT,,AOS,5
MLhWb5hzR309Ram,1,1993,300,7,2017-11-30,NaT,,IOS,4
FtR1LKgfjltgw4L,0,1995,400,1,2019-04-05,NaT,,AOS,0
thvMCWVEnKNkNaM,0,1995,500,7,2018-08-05,NaT,,AOS,3
oLbIdARnMPd2ArB,1,1998,400,13,2019-12-13,NaT,,AOS,2
oE4m7MyVKq8xyf5,1,1997,300,9,2019-10-24,NaT,,IOS,2
b7EVbK27bzs4cyj,1,1995,400,5,2017-12-30,NaT,,AOS,2
PXEJ2bGGAz2jDRB,1,1993,300,6,2017-05-31,NaT,1,AOS,4
ymLxozDNkBbkm4T,0,1998,300,2,2019-06-04,NaT,,AOS,2
imtvPYFuNVzY3uN,0,1997,400,5,2017-02-28,NaT,,AOS,4
qjcOsQYEe7yfwTw,0,1996,500,4,2020-06-08,NaT,,IOS,5
CceTAUmafpM400n,1,1996,400,6,2019-07-17,NaT,,AOS,4
idGTArP4O7V0AQo,0,1999,300,9,2016-05-09,NaT,,AOS,5
8zfF9JPjBINmXtF,1,1999,400,5,2019-06-24,NaT,,IOS,4
E9eo36hHhIwlVqR,0,1997,300,2,2017-07-17,NaT,,AOS,4
T2kwHzMMZCGGpSq,0,1997,500,10,2018-08-27,NaT,,AOS,1
LCSoJnAaHPsNcdb,0,1996,300,6,2017-10-23,NaT,,AOS,6
EEMCsYvvomIzLFy,1,1995,500,5,2019-02-02,NaT,,AOS,1
wHlFZOSEGRx1usl,1,1996,300,3,2019-04-27,NaT,,AOS,1
VfRIM9oeN3SHEqg,0,1992,300,1,2017-05-28,NaT,,AOS,0
YAlWPIx82cBx8Xo,1,1991,300,0,2020-01-16,NaT,,AOS,2
jwZrLMVp6ixFxw3,0,1990,500,9,2019-04-08,NaT,,AOS,0
5h7Qzj3iRDIRhL6,1,1996,300,12,2017-01-21,NaT,,AOS,0
Ov7QDn0lBEAfuER,1,1992,400,0,2018-08-26,NaT,,AOS,0
EeTHH9s0PUB9DBv,1,1989,300,3,2017-10-26,NaT,,AOS,8
NJhMm5AE6DlRiYX,1,1985,300,8,2018-01-26,NaT,,IOS,0
PXTZi2W82xCmMrL,1,1991,500,3,2018-02-21,NaT,,IOS,1
pPMEDEhDUfSpdvY,1,1989,300,3,2017-07-12,NaT,,AOS,0
rVZWRC3wlnM83Yl,1,1995,500,0,2019-05-10,NaT,,AOS,0
lz6lUFJyQvnjgeH,1,1992,300,1,2016-11-11,NaT,,IOS,6
7ig0z4DP8ruFLqL,0,1995,500,0,2019-10-04,NaT,,AOS,0
r3misnxxxgqm7GT,0,1990,500,3,2020-02-24,NaT,,AOS,11
RLc2Tz9vMiwvBmq,1,1990,500,1,2017-01-28,NaT,,AOS,1
QqpCYX0DRmmqOkS,0,1991,300,9,2019-12-28,NaT,,IOS,1
uyQ1173pq45WT9Z,0,1995,300,6,2020-03-11,NaT,,IOS,4
Sy5yWUHWF7tLyvY,0,1989,300,9,2018-02-16,NaT,,AOS,5
ZPqmjKEWASaEV37,1,1988,300,8,2018-07-26,NaT,,IOS,0
xAcfOpo1zCOfT37,1,1994,400,5,2019-10-23,NaT,,IOS,3
I1VjisiTA1xh7Gx,0,1990,400,6,2019-09-07,NaT,1,AOS,0
EEHyf4VUEubWLqb,1,1990,400,5,2020-11-01,NaT,,AOS,7
obtLpHgC7GpWIl9,1,1988,300,0,2020-05-07,NaT,,AOS,1
vnqazlpHlUFgpCZ,1,1991,300,0,2017-11-29,NaT,,AOS,2
Vh0nTjG3SkKExW1,0,1993,300,3,2020-01-23,NaT,,AOS,0
JhZ9HvysIbjizqR,0,1991,500,3,2018-08-19,NaT,,AOS,0
lUJdgxMECqK3cZa,0,1991,400,0,2019-05-15,NaT,,AOS,5
yEnTZmI5csNJ8op,0,1992,400,5,2017-08-10,NaT,,IOS,5
lV4SZWTQ7UBjfqa,0,1990,500,12,2016-04-26,NaT,,IOS,0
HUeVWe265JDNYrP,1,1989,300,7,2016-11-29,NaT,,AOS,2
r0u8X1WhspZJ0WA,1,1993,400,6,2020-07-09,NaT,,IOS,3
AiokTO0yG2x01zA,1,1989,300,6,2019-06-11,NaT,,IOS,0
NEDaTlyW02tLVLj,0,1993,300,4,2019-04-21,NaT,,AOS,2
6yd1zkMZHUtxOVR,1,1988,400,3,2017-06-25,NaT,,AOS,3
L8cXItZIRFhBqxH,1,1992,300,10,2018-08-11,NaT,,IOS,0
IIoKXQBOGoBq3HG,0,1992,300,5,2018-01-04,NaT,,AOS,0
pdPL5bc7Tv9n9O8,1,1987,300,2,2018-08-26,NaT,,AOS,0
PCctWvQpBpNHzQO,0,1990,500,7,2018-03-24,NaT,,AOS,0
K1YJFhIe22strRn,1,1993,300,9,2019-10-24,NaT,,AOS,8
Dx0vYoEopQZcrUf,1,1993,300,4,2017-11-03,NaT,,AOS,0
tfK5JZ0L7SqlWhf,0,1991,500,7,2017-09-27,NaT,,IOS,6
LN46tmMHJHXmlYd,0,1990,300,9,2017-02-09,NaT,1,AOS,5
LNclUSHVWkaM7ck,1,1992,500,6,2018-10-29,NaT,,IOS,9
pCn4cAgFJiSAzWC,1,1989,300,1,2018-08-02,NaT,,AOS,9
hbDutw14OjzjjL2,1,1991,300,7,2016-11-10,NaT,,IOS,0
p70XUjALoYgeBAO,1,1989,400,1,2019-06-20,NaT,,AOS,0
Cp2vUfxqPjJGQvO,1,1989,300,0,2019-04-26,NaT,1,AOS,0
2WisYAi5CzX6HXy,0,1992,500,6,2017-06-22,NaT,,AOS,6
RAWfvlM0H50rabn,1,1993,300,6,2016-12-28,NaT,,AOS,0
d03bA7Dq577ZRg8,1,1993,300,6,2020-04-14,NaT,,IOS,10
c3maHCkINnTUcTG,1,1991,300,8,2018-08-06,NaT,,IOS,0
nskjt6fhxAGoGnH,1,1991,300,6,2017-10-28,NaT,,AOS,8
QstL4CgGEv3sCSE,0,1992,300,3,2018-03-19,NaT,,IOS,5
ScB7r92o9hv9pCI,1,1991,400,0,2017-05-06,NaT,,IOS,0
AyE3YpNLi0gPdIb,0,1993,500,5,2018-12-27,NaT,,IOS,3
3gQtQnCL7vSq42s,0,1991,300,6,2016-11-25,NaT,,AOS,0
bYBe6CSKTv7t28a,1,1988,300,8,2018-05-10,NaT,,IOS,3
hLFmOAtaBeJ1WW5,1,1992,300,0,2017-12-29,NaT,,AOS,0
YOjpvilfrl0W2YK,0,1989,400,5,2016-12-04,NaT,,IOS,0
ecHwEgMr8fYGXLN,0,1992,300,10,2018-12-10,NaT,1,AOS,1
8SmpBAPRDH1FrWS,1,1996,400,4,2018-10-20,NaT,,IOS,0
vmYW71HNHuVHnxg,0,1990,400,9,2016-10-20,NaT,,IOS,3
DJtr1FS4Pthly7m,1,1989,300,11,2018-02-05,NaT,,IOS,3
dZjVALuPhUc3RLP,1,1991,300,5,2018-09-28,NaT,,IOS,0
SgN9UllBqCmIPRI,0,1990,300,12,2019-09-06,NaT,,IOS,5
KZg5RiuCm0iap3U,1,1995,300,7,2018-01-09,NaT,,AOS,5
gWLUdt7eMVhMTq7,1,1987,500,11,2020-08-06,NaT,,AOS,11
90rhf9b0kDUaBnC,0,1988,300,9,2018-02-24,NaT,,AOS,0
95NtzIlqCLjpgIT,1,1989,300,9,2019-06-03,NaT,,AOS,9
HrhijbXVEQkwlk5,0,1987,300,8,2018-11-26,NaT,,IOS,6
DUCS4EEa1NtpWvT,1,1993,500,2,2018-01-04,NaT,,AOS,4
FAUy9UmTarfWT31,0,1988,300,8,2020-12-17,NaT,,AOS,0
WYWt8enMQF7K4qf,0,1991,300,7,2018-12-07,NaT,,IOS,1
nf4h7TkJXJ0UP37,1,1993,300,3,2018-05-26,NaT,,AOS,0
ZtzfG83kWOktufO,0,1990,300,7,2016-01-23,NaT,,IOS,5
UueADSgkYG0DjWN,1,1993,500,4,2017-08-01,NaT,,AOS,6
BaBfh8xSKgTyeiP,1,1984,300,9,2016-12-08,NaT,,AOS,2
dHBZYnuPXhJwmEi,0,1993,500,5,2020-01-30,NaT,,AOS,2
niBBLQhGkpd3uYS,0,1990,300,9,2017-09-15,NaT,,AOS,0
SS1VZ7DZzx9T5lm,0,1994,300,8,2016-04-27,NaT,1,IOS,4
jbenBZvrLmpT5lg,1,1992,300,7,2018-07-01,NaT,,AOS,0
LbJL2Z09Z1LzAFF,1,1992,300,12,2019-10-09,NaT,,AOS,3
A3QvTr4c1t3gI4V,1,1993,300,4,2020-01-20,NaT,,AOS,0
2M3KSAdoi8fmBj6,0,1984,400,10,2016-05-08,NaT,1,AOS,13
1nBP2xiwd9WCsAO,1,1987,300,7,2017-12-03,NaT,,AOS,1
bT7g8AZl4XcWbb8,0,1990,300,4,2016-08-01,NaT,,AOS,0
7vUzkS3UC6g0gcR,1,1992,300,8,2019-01-29,NaT,,IOS,0
RiQI4miIQUaLahf,1,1989,300,5,2020-12-18,NaT,,AOS,0
7RweEGMdMvaFu62,1,1992,300,3,2017-11-11,NaT,,AOS,4
KF3dIVZxFwjd3Xg,0,1982,400,1,2016-05-31,2020-11-15,,AOS,2
093P8jxx7zhcmRN,0,1990,300,2,2018-02-15,NaT,,IOS,9
yyXk38EmHncUK8Y,0,1987,300,6,2017-12-04,NaT,,AOS,0
l26HZRcl4YEQHff,0,1992,300,2,2020-08-13,NaT,,IOS,0
cl2PMefw1BD5yBv,0,1988,300,7,2020-02-24,NaT,,AOS,0
NJkMfqBTDQ9yktJ,1,1992,500,1,2017-10-05,NaT,,AOS,3
o88KUTkBI9Os07G,1,1989,400,7,2019-10-27,NaT,,IOS,12
Uje85FEQivciLZR,1,1994,300,7,2018-10-23,NaT,,AOS,7
zsJUpL6GlXjQcLB,1,1995,300,5,2017-09-20,NaT,,AOS,0
N56B0WedzrYgWUj,1,1987,400,0,2016-08-03,NaT,,AOS,0
ImtDsvAh1TZclHA,1,1992,300,7,2016-01-11,NaT,,IOS,4
YsXpXAGg7dvURrz,1,1988,300,1,2018-08-26,NaT,,IOS,3
WWeSy5BIAFA5dNy,1,1993,400,3,2018-05-21,2020-11-11,1,IOS,8
2TwbzZ4UZHdrfzt,1,1991,400,4,2018-02-02,NaT,,AOS,0
y4lh9K37OBFoXu5,0,1991,400,3,2016-10-04,NaT,,AOS,0
2pslIosBkQooDts,1,1992,500,0,2018-03-22,NaT,,IOS,0
nP1lwB9gxIAGmK0,1,1988,300,3,2018-02-17,NaT,,AOS,5
mfMBRLWhovdHkIo,1,1987,300,5,2017-12-05,NaT,,AOS,4
LvJQBbcYfn2KcTD,1,1991,300,6,2019-02-24,NaT,,IOS,0
rnRHjxLXthqvI1y,1,1993,300,4,2018-01-12,NaT,,AOS,5
5Rzq4tHOQq1Sd3z,0,1994,300,0,2019-01-29,NaT,,AOS,0
VT8JzD84TLbZkYh,1,1988,300,7,2017-02-26,NaT,,IOS,0
TnTrWNpBhTW0hhK,1,1989,300,5,2019-05-27,NaT,1,AOS,0
ILPVvMVxdlCzrGJ,1,1991,300,7,2018-07-13,NaT,,AOS,3
vMmS5AOMhgtyW8Z,0,1992,300,0,2018-12-07,NaT,1,IOS,1
PglQfF1n0tfHNyF,0,1990,400,7,2017-12-18,NaT,,IOS,10
ePVCbTu5uzwve5p,1,1991,300,4,2020-04-28,NaT,,AOS,2
CE7x5vH6WsEPzjY,1,1993,400,5,2016-08-10,NaT,,AOS,0
tRZFh67nyuTF7pJ,0,1990,300,2,2017-02-08,NaT,,IOS,12
goGl9ZiL0pkhd9W,1,1988,300,1,2017-12-25,NaT,,IOS,0
c8qRPFOWCNGSLwN,1,1989,300,7,2017-09-25,NaT,1,AOS,0
wTXehSpcjBIoykA,0,1992,300,7,2020-02-16,NaT,,IOS,4
P55RUt9Y5jsh3X2,1,1990,300,13,2016-08-30,NaT,,AOS,7
y5IeCwsh7n25zCl,0,1992,500,9,2017-06-17,NaT,1,AOS,14
2fG5a0aOjhiOXOJ,0,1989,300,6,2019-03-22,NaT,,AOS,0
kps4xr75CaKme4P,0,1986,300,9,2018-04-26,NaT,,AOS,5
BNx32uqPGBUyknB,1,1990,300,2,2018-11-02,NaT,1,AOS,0
3bBd1WoGoVE5i4g,0,1988,400,6,2017-08-19,NaT,,IOS,0
uoF4CTXtd71nytd,1,1989,300,5,2020-05-14,NaT,,AOS,0
6R4zeQUmwVX3BKs,1,1996,300,4,2017-09-19,NaT,1,IOS,6
taBhik8i1h5DyZo,0,1999,400,5,2020-02-27,NaT,,IOS,2
0z1ZdYaZbxZxbsL,0,1995,300,9,2017-01-24,NaT,,AOS,1
nEpyv8ozcF0ykwr,0,1986,400,0,2020-02-24,NaT,,IOS,4
fkca78zGFS442VA,1,1987,300,7,2016-02-01,NaT,1,IOS,0
ONFVxEkTYgv0ERz,1,1986,300,7,2017-08-30,NaT,1,AOS,0
YfmgKSUYsfaNwvY,0,1990,300,8,2016-02-28,NaT,,IOS,0
sVyPqVS5875j8WU,0,1992,400,5,2018-09-29,NaT,,IOS,9
oyr22HLPrtEAKCY,0,1994,300,2,2018-02-05,2020-12-11,,IOS,1
hFTSSr6XpQeHky2,1,1988,500,8,2019-09-09,NaT,,AOS,6
YmGuibNC8UetQuJ,0,1991,300,0,2019-05-15,NaT,1,AOS,1
r3VUS527g96Jl7u,1,1986,500,5,2018-01-26,NaT,,AOS,1
lMIhqPaRPMOqRkg,1,1988,300,3,2018-06-23,NaT,,AOS,0
wsZnpIBKTFlZasP,1,1992,300,0,2018-02-22,NaT,,AOS,8
thA0pnIdN7Ktbft,1,1988,400,8,2018-02-09,NaT,,AOS,10
h7kn8WMLTCvIs9z,1,1988,400,7,2018-07-08,NaT,1,AOS,2
ZgqVsNb7BSPX1ko,0,1989,300,8,2017-09-28,NaT,,IOS,0
6Z61DOOjfMg8Yi7,1,1992,500,6,2018-08-20,NaT,,AOS,5
CNFx7K5MsJwaBcP,1,1995,300,2,2017-07-26,NaT,,IOS,2
RfUPCk3uP4MsL22,1,1991,300,9,2017-12-26,NaT,,AOS,0
4TXr6nhinUBivkK,1,1991,300,6,2019-10-31,NaT,,AOS,13
ILrSG4sKceKpL4H,0,1991,300,7,2016-11-05,NaT,1,IOS,4
Jhcihc4drBvxGID,1,1991,400,0,2018-04-30,NaT,,AOS,0
en9IYkqaIvejJtM,0,1989,400,6,2016-12-20,NaT,,AOS,13
