,user_id,membership_type,total_order_cnt,total_cost,avg_coupon_amt,avg_point_amt,weekly_order_cnt,monthly_order_cnt,avg_cost,avg_item_cost,last_date,days_of_recency,R_score,F_score,M_score,km_label
19,ml66qArDMkHdbvh,100,1.0,46500.0,0.0,0.0,1.0,1.0,46500.0,43000.0,2020-02-08,39,2,1,2,3
20,uLUVslyrNLl23TK,100,1.0,6500.0,0.0,0.0,1.0,1.0,6500.0,0.0,2020-04-17,108,3,1,1,4
21,2WT2PCrF4DAn9UL,100,1.0,42500.0,0.0,0.0,1.0,1.0,42500.0,36000.0,2020-02-12,43,2,1,2,3
22,xZwdpCOBzPEg0QC,100,1.0,18000.0,0.0,0.0,1.0,1.0,18000.0,12000.0,2020-03-09,69,2,1,1,0
23,MCwY7dgO3aZLRoo,300,93.0,3382400.0,-333.3333333333333,0.0,3.5769230769230766,15.5,36369.89,29820.43,2020-06-27,179,4,4,5,1
24,ni49Avz1CrhYnmZ,100,2.0,62500.0,0.0,0.0,2.0,2.0,31250.0,14500.0,2020-01-28,28,1,1,2,3
25,xFT0RrOpHgnIBIN,300,30.0,882800.0,-216.66666666666663,0.0,1.5789473684210529,6.0,29426.67,24576.67,2020-06-30,182,5,2,3,2
26,4yP68LMhjGDZlvv,100,1.0,17800.0,-5000.0,0.0,1.0,1.0,17800.0,0.0,2020-03-10,70,2,1,1,0
27,mKIGw9ckxWktie9,100,1.0,30000.0,0.0,0.0,1.0,1.0,30000.0,24000.0,2020-03-19,79,2,1,1,0
28,qo2G3je5IyldRJr,100,1.0,22900.0,0.0,0.0,1.0,1.0,22900.0,0.0,2020-06-15,167,4,1,1,4
29,p3Bd45UVOQA0af1,100,1.0,16500.0,0.0,0.0,1.0,1.0,16500.0,10000.0,2020-02-19,50,2,1,1,0
30,lqHLMBNJuZsj5lE,100,1.0,44500.0,0.0,0.0,1.0,1.0,44500.0,38000.0,2020-02-02,33,2,1,2,3
31,YRMNMZiGf83Fu2f,100,1.0,14500.0,0.0,0.0,1.0,1.0,14500.0,6000.0,2020-01-12,12,1,1,1,0
32,K1YJFhIe22strRn,100,1.0,29000.0,0.0,0.0,1.0,1.0,29000.0,16000.0,2020-06-04,156,4,1,1,4
33,CEzuX6s2JwYIVk4,100,1.0,41500.0,-5000.0,0.0,1.0,1.0,41500.0,34000.0,2020-03-05,65,2,1,2,3
34,aAIXKdsHG37K6oC,100,1.0,42000.0,0.0,0.0,1.0,1.0,42000.0,35000.0,2020-02-23,54,2,1,2,3
35,V4xGhpjZhufgoBF,100,1.0,11000.0,0.0,0.0,1.0,1.0,11000.0,3000.0,2020-01-05,5,1,1,1,0
36,UMSbZjC2NUORqs4,100,1.0,58500.0,0.0,0.0,1.0,1.0,58500.0,0.0,2020-01-11,11,1,1,2,3
37,SVM6GCYmwmCbKrW,100,1.0,27000.0,0.0,0.0,1.0,1.0,27000.0,22000.0,2020-02-12,43,2,1,1,0
38,28FiXE8Hx0cQVOd,300,2.0,49000.0,-3500.0,0.0,1.0,1.0,24500.0,13500.0,2020-05-31,152,4,1,2,4
39,vWXkGsZ2c4AG1Uq,100,1.0,45000.0,0.0,0.0,1.0,1.0,45000.0,39000.0,2020-01-07,7,1,1,2,3
40,30Zft06IKR2uheR,100,1.0,24000.0,0.0,0.0,1.0,1.0,24000.0,0.0,2020-06-02,154,4,1,1,4
41,Hrb5Rc2mH9FpO3D,100,1.0,35780.0,0.0,0.0,1.0,1.0,35780.0,0.0,2020-05-19,140,4,1,2,4
42,64Mlpy7DzFWypQ3,100,1.0,24500.0,0.0,0.0,1.0,1.0,24500.0,17000.0,2020-02-01,32,2,1,1,0
43,BVuISL9fRwVrqTg,100,1.0,46000.0,0.0,0.0,1.0,1.0,46000.0,0.0,2020-01-29,29,1,1,2,3
44,Bi9Y7HhkofQRT2I,100,1.0,29000.0,0.0,0.0,1.0,1.0,29000.0,24000.0,2020-04-05,96,3,1,1,4
45,YsXpXAGg7dvURrz,300,57.0,2934900.0,-491.22807017543863,0.0,2.375,9.5,51489.47,20722.81,2020-06-29,181,5,3,4,1
46,KkFCIdEmueDlzm4,100,1.0,47800.0,0.0,0.0,1.0,1.0,47800.0,0.0,2020-02-08,39,2,1,2,3
47,E94H5GkV3AUvBnf,400,72.0,2484300.0,-847.2222222222223,0.0,2.769230769230769,12.0,34504.17,15309.72,2020-06-30,182,5,4,4,1
48,A5Ed3jyOcO0qzUY,500,30.0,1433400.0,-100.0,0.0,1.875,5.0,47780.0,41730.0,2020-06-26,178,4,2,4,2
49,yu3cHVewx9HjABv,100,2.0,80500.0,0.0,0.0,2.0,2.0,40250.0,37500.0,2020-01-05,5,1,1,2,3
50,rRheF3ExKFyiPRO,100,2.0,59000.0,0.0,0.0,2.0,2.0,29500.0,21000.0,2020-01-19,19,1,1,2,3
51,vcDO3Fse6PaHam4,100,1.0,34000.0,0.0,0.0,1.0,1.0,34000.0,29500.0,2020-02-05,36,2,1,2,3
52,324TPUJs6xQgmOi,100,1.0,37900.0,0.0,0.0,1.0,1.0,37900.0,29400.0,2020-05-29,150,4,1,2,4
53,9BYmmEjivsbLy1J,100,2.0,29000.0,0.0,0.0,1.0,1.0,14500.0,2500.0,2020-03-21,81,2,1,1,0
54,YHV081sU3wbKClR,100,1.0,27500.0,-4500.0,0.0,1.0,1.0,27500.0,23000.0,2020-01-07,7,1,1,1,0
55,9CP3if8S9D6Ysov,100,1.0,25000.0,0.0,0.0,1.0,1.0,25000.0,0.0,2020-01-05,5,1,1,1,0
56,8ak56kSnlET5ElO,100,1.0,17000.0,0.0,0.0,1.0,1.0,17000.0,16000.0,2020-06-22,174,4,1,1,4
57,Nra5AqKCJJWfusg,100,1.0,29000.0,0.0,0.0,1.0,1.0,29000.0,0.0,2020-02-15,46,2,1,1,0
58,Vl4SuOdHP62cRKT,100,1.0,71000.0,0.0,0.0,1.0,1.0,71000.0,68000.0,2020-01-09,9,1,1,2,3
59,fwffAzyX7hvZCfg,100,1.0,42600.0,0.0,0.0,1.0,1.0,42600.0,37600.0,2020-04-24,115,3,1,2,4
60,0yBio4bydy7ufRN,100,1.0,16000.0,0.0,0.0,1.0,1.0,16000.0,8500.0,2020-04-07,98,3,1,1,4
61,z6EPF39p57tvhR9,100,1.0,27000.0,0.0,0.0,1.0,1.0,27000.0,20000.0,2020-02-10,41,2,1,1,0
62,1Xzj27S67duMSlO,100,1.0,39000.0,0.0,0.0,1.0,1.0,39000.0,0.0,2020-02-10,41,2,1,2,3
63,SOuZQTvWzcPbqeA,100,1.0,13000.0,0.0,0.0,1.0,1.0,13000.0,0.0,2020-04-04,95,3,1,1,4
64,zDHalQ3CdLjFw0n,100,1.0,44500.0,0.0,0.0,1.0,1.0,44500.0,0.0,2020-03-29,89,2,1,2,3
65,qiUiDcLaIJY7XxV,300,35.0,973800.0,-971.4285714285713,0.0,2.5,5.833333333333332,27822.86,21642.86,2020-06-30,182,5,3,3,1
66,it7msuY6rcrlQk3,100,2.0,36800.0,0.0,0.0,1.0,2.0,18400.0,4500.0,2020-02-29,60,2,1,2,3
67,WFHxaMJigXRVfx0,100,1.0,38000.0,0.0,0.0,1.0,1.0,38000.0,30000.0,2020-03-29,89,2,1,2,3
68,Kok4YDAvJ9M1zyY,100,1.0,6000.0,0.0,0.0,1.0,1.0,6000.0,0.0,2020-01-30,30,1,1,1,0
69,Cn82i8qo86kAqmf,100,1.0,37300.0,0.0,0.0,1.0,1.0,37300.0,30300.0,2020-05-31,152,4,1,2,4
70,SbkzOTyjACaHfTr,100,1.0,25000.0,-5000.0,0.0,1.0,1.0,25000.0,0.0,2020-01-07,7,1,1,1,0
71,YHPWsSm8Sw8yMp2,100,1.0,31000.0,0.0,-830.0,1.0,1.0,31000.0,26000.0,2020-01-02,2,1,1,2,3
72,WvdtsAPhmDBGxRa,100,1.0,43500.0,0.0,0.0,1.0,1.0,43500.0,40000.0,2020-03-24,84,2,1,2,3
73,PtFS7wTSNaUkYCx,100,1.0,65500.0,0.0,0.0,1.0,1.0,65500.0,0.0,2020-01-17,17,1,1,2,3
74,wJI3l55IPJCpO9c,100,1.0,33400.0,0.0,0.0,1.0,1.0,33400.0,23000.0,2020-02-18,49,2,1,2,3
75,7Evpx82AKKbXwab,100,3.0,27000.0,0.0,0.0,1.0,1.5,9000.0,0.0,2020-03-03,63,2,1,1,0
76,Szne1pJb1mmNesp,100,1.0,16000.0,0.0,0.0,1.0,1.0,16000.0,0.0,2020-01-17,17,1,1,1,0
77,uECahPxCuEz5tzV,300,5.0,198220.0,0.0,0.0,1.0,1.25,39644.0,3200.0,2020-06-22,174,4,1,3,2
78,NSaauMvfcNla2sh,100,1.0,22000.0,0.0,0.0,1.0,1.0,22000.0,13000.0,2020-01-12,12,1,1,1,0
79,2Lddb7GJds9XYtP,100,2.0,17000.0,0.0,0.0,2.0,2.0,8500.0,0.0,2020-03-01,61,2,1,1,0
80,9HzFXxRFX5TYbDc,100,1.0,25500.0,0.0,0.0,1.0,1.0,25500.0,18000.0,2020-04-08,99,3,1,1,4
81,N1XXPDHW1MBeAJg,100,1.0,24000.0,0.0,0.0,1.0,1.0,24000.0,0.0,2020-01-12,12,1,1,1,0
82,ESzwZ3Mf715aSkL,100,1.0,49000.0,0.0,0.0,1.0,1.0,49000.0,42000.0,2020-03-27,87,2,1,2,3
83,gCjJgMd8262JdUD,100,1.0,36000.0,0.0,0.0,1.0,1.0,36000.0,32000.0,2020-03-03,63,2,1,2,3
84,ij5jJS2kGYP3gk3,100,1.0,40000.0,0.0,0.0,1.0,1.0,40000.0,36000.0,2020-06-26,178,4,1,2,4
85,9wRTrqJWWy51nQ1,100,1.0,30400.0,0.0,0.0,1.0,1.0,30400.0,30400.0,2020-01-31,31,2,1,2,3
86,tpHe3WGOiHxVuck,100,1.0,30000.0,0.0,0.0,1.0,1.0,30000.0,22000.0,2020-02-15,46,2,1,1,0
87,ZbSaO6K0bPdL8cc,100,1.0,42000.0,0.0,0.0,1.0,1.0,42000.0,39000.0,2020-01-12,12,1,1,2,3
88,xntDMYfthRoZNBV,100,1.0,40000.0,0.0,0.0,1.0,1.0,40000.0,34000.0,2020-02-20,51,2,1,2,3
89,23Qo3NKgLaeKOky,100,2.0,45860.0,-2500.0,0.0,1.0,2.0,22930.0,14000.0,2020-01-22,22,1,1,2,3
90,zgaLeVdKy8zK4G7,300,56.0,1687600.0,-1232.142857142857,0.0,2.24,9.333333333333334,30135.71,22117.86,2020-06-11,163,4,3,4,1
91,YLJB8jGMx5pY6gL,500,102.0,3619550.0,-1450.9803921568628,0.0,3.7777777777777777,17.0,35485.78,30599.02,2020-06-25,177,4,5,5,1
92,nxVUY1LcUC3Hd7j,300,23.0,2197230.0,-217.3913043478261,0.0,1.3529411764705883,3.8333333333333335,95531.74,521.74,2020-06-26,178,4,2,4,2
93,yZecQiQq2arIsao,100,1.0,39000.0,0.0,0.0,1.0,1.0,39000.0,34000.0,2020-02-27,58,2,1,2,3
94,XMsChL2RUYqxV0W,100,2.0,85000.0,0.0,0.0,2.0,2.0,42500.0,0.0,2020-01-11,11,1,1,2,3
95,ui1jkyp3bNkrtbZ,100,1.0,41000.0,0.0,0.0,1.0,1.0,41000.0,36000.0,2020-02-14,45,2,1,2,3
96,HnUUeq2Fb7WzNDl,100,1.0,57000.0,0.0,0.0,1.0,1.0,57000.0,57000.0,2020-01-03,3,1,1,2,3
97,8eNHaBS1n6kFaPZ,100,1.0,21500.0,0.0,0.0,1.0,1.0,21500.0,17000.0,2020-06-21,173,4,1,1,4
98,jFRNMYMPgi4nR4N,100,2.0,46800.0,0.0,0.0,1.0,2.0,23400.0,7500.0,2020-04-23,114,3,1,2,4
99,bknO5aMCnvzt56f,100,1.0,19000.0,-5000.0,0.0,1.0,1.0,19000.0,13000.0,2020-02-11,42,2,1,1,0
100,zZclBta5I2NBJ94,100,1.0,83500.0,0.0,0.0,1.0,1.0,83500.0,83000.0,2020-01-29,29,1,1,2,3
101,syUjs6GFnqVPgeN,400,41.0,1642000.0,-1634.1463414634145,0.0,2.9285714285714284,6.833333333333332,40048.78,36963.41,2020-06-07,159,4,3,4,1
102,AE5BumeWqUVFwfk,100,1.0,32100.0,0.0,0.0,1.0,1.0,32100.0,0.0,2020-05-28,149,4,1,2,4
103,rhqkTqYnqGlddeG,100,2.0,57300.0,0.0,0.0,1.0,2.0,28650.0,23900.0,2020-01-17,17,1,1,2,3
104,qcB4akMKXbxkAzH,100,1.0,78500.0,0.0,0.0,1.0,1.0,78500.0,72000.0,2020-01-09,9,1,1,2,3
105,vgHzovUfsiDxxzK,300,2.0,99400.0,0.0,0.0,1.0,2.0,49700.0,48700.0,2020-06-28,180,4,1,2,4
106,IUUpC1DB4R9Wzp8,100,2.0,52500.0,0.0,-140.0,1.0,2.0,26250.0,19250.0,2020-01-23,23,1,1,2,3
107,VV08iiOXY4yCwcP,100,1.0,40900.0,0.0,0.0,1.0,1.0,40900.0,0.0,2020-01-21,21,1,1,2,3
108,nf4h7TkJXJ0UP37,300,38.0,2037300.0,-697.3684210526317,0.0,1.7272727272727273,6.333333333333332,53613.16,48284.21,2020-06-21,173,4,3,4,1
109,r5uVA5aFSXX5Whs,300,70.0,2310750.0,-1357.142857142857,0.0,2.5,11.666666666666664,33010.71,23837.86,2020-06-26,178,4,4,4,1
110,l0hIZ9aGZ9v6E3Q,100,1.0,22000.0,0.0,0.0,1.0,1.0,22000.0,16000.0,2020-01-05,5,1,1,1,0
111,Al39R7qblMxnVGu,100,3.0,39600.0,0.0,0.0,1.0,1.0,13200.0,0.0,2020-06-10,162,4,1,2,4
112,nKGxtVywH5YZTjc,100,1.0,16000.0,0.0,0.0,1.0,1.0,16000.0,0.0,2020-02-14,45,2,1,1,0
113,OxecrC0VS9DcdnU,100,1.0,45500.0,0.0,0.0,1.0,1.0,45500.0,41000.0,2020-02-23,54,2,1,2,3
114,707kfBhGRORTZBg,300,65.0,2223950.0,0.0,0.0,2.8260869565217392,10.833333333333336,34214.62,15466.15,2020-06-18,170,4,4,4,1
115,hw0PrJmECx3qYHW,100,1.0,28500.0,-5000.0,0.0,1.0,1.0,28500.0,21000.0,2020-01-29,29,1,1,1,0
116,s5AisSN3lbkCLJR,500,41.0,2038800.0,-902.439024390244,0.0,2.411764705882353,6.833333333333332,49726.83,44726.83,2020-06-26,178,4,3,4,1
117,5poJFcOEpkfvitO,100,1.0,40000.0,0.0,0.0,1.0,1.0,40000.0,37000.0,2020-01-02,2,1,1,2,3
118,6AHIaoCyvIavf36,100,2.0,59000.0,0.0,0.0,2.0,2.0,29500.0,21750.0,2020-01-13,13,1,1,2,3
119,6yNfoETglKw8YCq,100,1.0,34500.0,0.0,0.0,1.0,1.0,34500.0,31000.0,2020-05-12,133,4,1,2,4
120,RHAdxPWDiHOB98M,100,1.0,7000.0,0.0,0.0,1.0,1.0,7000.0,0.0,2020-02-09,40,2,1,1,0
121,zESEMAxGm9Io7BG,100,1.0,24000.0,0.0,0.0,1.0,1.0,24000.0,19000.0,2020-04-08,99,3,1,1,4
122,rTmIJjW4w4IsYoe,100,2.0,45000.0,0.0,0.0,2.0,2.0,22500.0,15500.0,2020-03-21,81,2,1,2,3
123,SYQtzs79TnvlTfL,400,69.0,2832100.0,-1014.4927536231884,0.0,2.6538461538461537,11.5,41044.93,37595.65,2020-06-28,180,4,4,4,1
124,aOZdjNqcDsrb7uZ,100,1.0,22000.0,0.0,0.0,1.0,1.0,22000.0,0.0,2020-06-07,159,4,1,1,4
125,L1dUmczjdT6dxkM,300,45.0,1276300.0,-1177.7777777777776,0.0,3.2142857142857144,7.5,28362.22,16448.89,2020-06-25,177,4,3,4,1
126,K0yyQpuhQYkgig7,100,2.0,26500.0,0.0,0.0,1.0,1.0,13250.0,6000.0,2020-02-15,46,2,1,1,0
127,QxWF6hZayd4tpjV,300,23.0,769600.0,-1260.8695652173913,0.0,1.5333333333333334,3.8333333333333335,33460.87,28156.52,2020-06-27,179,4,2,3,2
128,S9wjhugUeqnsFl5,100,1.0,45500.0,-5000.0,0.0,1.0,1.0,45500.0,0.0,2020-03-12,72,2,1,2,3
129,g562XfQhX6kWETV,100,3.0,66500.0,0.0,0.0,1.0,3.0,22166.67,2333.33,2020-01-15,15,1,1,2,3
130,F9sbQgo1cDU1snn,100,1.0,17500.0,0.0,0.0,1.0,1.0,17500.0,11000.0,2020-01-27,27,1,1,1,0
131,XdqQay7fq2vSqUG,100,2.0,40500.0,0.0,0.0,1.0,1.0,20250.0,0.0,2020-06-25,177,4,1,2,4
132,lP1nKBD9i5S2qay,100,2.0,43000.0,0.0,0.0,1.0,2.0,21500.0,16250.0,2020-02-15,46,2,1,2,3
133,EKGaYu9wJEwvdek,100,1.0,27000.0,0.0,0.0,1.0,1.0,27000.0,20000.0,2020-03-08,68,2,1,1,0
134,fxFO3hlg100gQqa,100,1.0,12500.0,0.0,0.0,1.0,1.0,12500.0,5000.0,2020-03-10,70,2,1,1,0
135,s3bYvusXyWBF1rZ,100,1.0,33000.0,0.0,0.0,1.0,1.0,33000.0,24000.0,2020-02-12,43,2,1,2,3
136,YBnpSIb8AD1zvmN,100,1.0,49000.0,0.0,0.0,1.0,1.0,49000.0,41000.0,2020-04-27,118,3,1,2,4
137,2zJrm6KLvs36Ycc,100,1.0,45500.0,0.0,0.0,1.0,1.0,45500.0,0.0,2020-03-25,85,2,1,2,3
138,spBxLoBdJtWbxBU,100,2.0,39000.0,0.0,0.0,1.0,1.0,19500.0,0.0,2020-04-14,105,3,1,2,4
139,gyTwtLx4o3h5Cw8,300,25.0,790000.0,0.0,0.0,1.3157894736842106,4.166666666666667,31600.0,2160.0,2020-06-30,182,5,2,3,2
140,HfPuzlI3cBjnBL8,100,1.0,39000.0,0.0,0.0,1.0,1.0,39000.0,34000.0,2020-01-03,3,1,1,2,3
141,ZlIWwJmm4UOx7RG,300,7.0,269800.0,0.0,0.0,1.0,1.1666666666666667,38542.86,34971.43,2020-06-26,178,4,1,3,2
142,grqp4WhpKobVlur,100,1.0,29500.0,0.0,0.0,1.0,1.0,29500.0,12000.0,2020-02-23,54,2,1,1,0
143,Is3AvDOoXjy2WQA,100,1.0,17000.0,0.0,0.0,1.0,1.0,17000.0,11000.0,2020-02-29,60,2,1,1,0
144,bDgeTHf50AdQ7g1,100,1.0,20000.0,0.0,-150.0,1.0,1.0,20000.0,13000.0,2020-01-13,13,1,1,1,0
145,B9Z1NysJQlJWErI,100,1.0,47500.0,0.0,0.0,1.0,1.0,47500.0,45000.0,2020-01-09,9,1,1,2,3
146,8rNr1sH65L8Hjsd,100,1.0,30000.0,0.0,0.0,1.0,1.0,30000.0,25000.0,2020-01-16,16,1,1,1,0
147,z4QnwMdDKtClL4B,100,1.0,41600.0,0.0,0.0,1.0,1.0,41600.0,35600.0,2020-02-13,44,2,1,2,3
148,79QII7nyWfWQIJh,100,1.0,22200.0,0.0,0.0,1.0,1.0,22200.0,14200.0,2020-02-05,36,2,1,1,0
149,0BVWGmrIRINQtro,100,1.0,38500.0,0.0,0.0,1.0,1.0,38500.0,35000.0,2020-02-03,34,2,1,2,3
150,PeyWXCOTU9RgGQs,100,1.0,50500.0,0.0,0.0,1.0,1.0,50500.0,47000.0,2020-04-27,118,3,1,2,4
151,niBBLQhGkpd3uYS,300,14.0,358600.0,-571.4285714285714,0.0,1.4,2.8,25614.29,19650.0,2020-06-27,179,4,1,3,2
152,kS8u07T4EgtG2Om,400,84.0,1883650.0,-1029.7619047619048,0.0,3.2307692307692313,14.0,22424.4,18477.98,2020-06-29,181,5,4,4,1
153,0D7LMbizfGZDdmT,100,1.0,32500.0,0.0,0.0,1.0,1.0,32500.0,28000.0,2020-02-02,33,2,1,2,3
154,u50K2sOf391zaWI,100,1.0,24000.0,0.0,0.0,1.0,1.0,24000.0,18000.0,2020-02-27,58,2,1,1,0
155,fBMspu5cAlU7GWj,100,1.0,27000.0,0.0,0.0,1.0,1.0,27000.0,23000.0,2020-06-10,162,4,1,1,4
156,mfbcuupm0MDx9he,300,12.0,454820.0,-1166.6666666666667,-83.33333333333333,1.3333333333333333,2.0,37901.67,16775.0,2020-06-06,158,4,1,3,2
157,wFAWotSu7G7MPkE,100,1.0,36000.0,0.0,0.0,1.0,1.0,36000.0,31000.0,2020-01-06,6,1,1,2,3
158,Yrj3KQvckkUBVnL,300,16.0,469740.0,-1312.5,0.0,1.6,2.6666666666666665,29358.75,20725.0,2020-06-23,175,4,2,3,2
159,qvtot6ABYZwXUF3,300,40.0,1131450.0,-1437.5,0.0,1.818181818181818,6.666666666666668,28286.25,20453.75,2020-06-16,168,4,3,4,1
160,WxOkKi8G0hHl1HD,100,1.0,50000.0,0.0,0.0,1.0,1.0,50000.0,47000.0,2020-01-27,27,1,1,2,3
161,Q1lZRTjXNH0CWOl,100,1.0,32500.0,0.0,0.0,1.0,1.0,32500.0,0.0,2020-06-06,158,4,1,2,4
162,c6aa2estvgnUbP2,100,1.0,19500.0,0.0,0.0,1.0,1.0,19500.0,10000.0,2020-03-27,87,2,1,1,0
163,4NxVMsGMQN9fbxg,100,1.0,29620.0,0.0,0.0,1.0,1.0,29620.0,0.0,2020-05-20,141,4,1,1,4
164,BTmRoTcQv2GfzcE,100,1.0,33000.0,0.0,0.0,1.0,1.0,33000.0,24000.0,2020-06-13,165,4,1,2,4
165,zBgYrcgfZdzcBqr,100,1.0,21000.0,0.0,0.0,1.0,1.0,21000.0,14000.0,2020-03-06,66,2,1,1,0
166,YJCFzID6bNaFS9W,100,1.0,36000.0,0.0,0.0,1.0,1.0,36000.0,30000.0,2020-03-29,89,2,1,2,3
167,YA8tfQfxhzuftPv,300,10.0,331300.0,-1900.0,-13.0,1.4285714285714286,3.333333333333333,33130.0,27730.0,2020-05-10,131,4,1,3,2
168,gnUtjUhI0QKV3JA,100,1.0,34000.0,0.0,0.0,1.0,1.0,34000.0,27000.0,2020-02-27,58,2,1,2,3
169,0tn5zbYaIoGPXlQ,300,27.0,966200.0,-555.5555555555555,0.0,1.2857142857142858,4.5,35785.19,0.0,2020-06-30,182,5,2,3,2
170,MQzGdnJZ4HzDAPi,100,1.0,40000.0,0.0,0.0,1.0,1.0,40000.0,37000.0,2020-02-07,38,2,1,2,3
171,dJaoOYnxQnaTsWg,100,1.0,39000.0,0.0,0.0,1.0,1.0,39000.0,0.0,2020-05-24,145,4,1,2,4
172,BVumjEsZrcbsAkY,300,7.0,187000.0,-2285.714285714286,0.0,1.4,1.75,26714.29,21214.29,2020-06-05,157,4,1,3,2
173,gpDUAXIeVqq4DxW,100,1.0,25600.0,0.0,0.0,1.0,1.0,25600.0,14000.0,2020-01-09,9,1,1,1,0
174,snFlSRIv2y8dydw,300,17.0,1137300.0,-1411.764705882353,0.0,1.4166666666666667,2.833333333333333,66900.0,57329.41,2020-06-27,179,4,2,4,2
175,c9cmsVcciJiTmJr,400,47.0,2120500.0,-957.4468085106384,0.0,1.88,7.833333333333332,45117.02,40214.89,2020-06-30,182,5,3,4,1
176,fSmtpT9ShlvWAUZ,500,87.0,28254700.0,-229.88505747126442,0.0,4.578947368421051,14.5,324766.67,62557.47,2020-06-30,182,5,4,5,1
177,4CKsb3yN37qfu93,100,1.0,38000.0,0.0,0.0,1.0,1.0,38000.0,33000.0,2020-01-11,11,1,1,2,3
178,x4TYY1eWzF8BCa9,100,1.0,35000.0,0.0,0.0,1.0,1.0,35000.0,26000.0,2020-01-02,2,1,1,2,3
179,2pgXIB6nEohBZuF,100,1.0,24500.0,0.0,0.0,1.0,1.0,24500.0,18000.0,2020-01-23,23,1,1,1,0
180,Ak6V6dQUyP7hBV3,100,1.0,15500.0,0.0,0.0,1.0,1.0,15500.0,7500.0,2020-01-02,2,1,1,1,0
181,grKvAoCFEGLYYtG,100,1.0,50820.0,0.0,0.0,1.0,1.0,50820.0,34000.0,2020-01-11,11,1,1,2,3
182,NWbHzO7CQSTiKKc,100,1.0,25000.0,0.0,0.0,1.0,1.0,25000.0,19500.0,2020-01-02,2,1,1,1,0
183,ylXPLlVMfMjLQ4S,100,1.0,20500.0,0.0,0.0,1.0,1.0,20500.0,12500.0,2020-02-17,48,2,1,1,0
184,GsULk9n698bHUw6,500,43.0,998610.0,-813.953488372093,0.0,1.8695652173913044,7.166666666666668,23223.49,12812.79,2020-06-28,180,4,3,3,1
185,R9KFPuIvHs7Bvhs,100,1.0,21000.0,0.0,0.0,1.0,1.0,21000.0,15000.0,2020-01-07,7,1,1,1,0
186,ZUdHyHrQEH2NFwk,500,21.0,916870.0,-2238.095238095238,0.0,1.4,3.5,43660.48,19061.9,2020-06-20,172,4,2,3,2
187,En7l3O0HNwG2OuG,300,50.0,2103700.0,-1100.0,0.0,2.272727272727273,8.333333333333334,42074.0,38004.0,2020-06-29,181,5,3,4,1
