vendor_id,if_affiliation,joined_date,bookmark_cnt,item_cnt,base_shipping_fee,commission_rate
LvBXgxTxiYoKVol,True,2019-03-20,372,159,1000.0,0.21
r6PM2GaKvmOSf6l,True,2016-04-06,1845,10,2100.0,0.23
QkBC8bAQZNYAJZz,False,2017-02-01,220,299,3100.0,0.17
GbOZoe8b3RP04hz,False,2015-05-03,669,110,2100.0,0.12
G0jpoDZSLlyxCmj,False,2016-12-15,163,234,2700.0,0.27
LQGFOqQHf1prpfS,True,2019-03-17,433,15,1900.0,0.2
F5dhMKDiCsjTzv6,True,2019-08-14,1727,51,2000.0,0.57
cCt7V7twYPEaclZ,False,2015-08-27,1174,171,3300.0,0.57
UWoKWppF4qtGp6o,False,2015-05-07,1222,156,2500.0,0.04
1MRSA2Nz7kiwpT3,False,2017-02-26,428,44,1800.0,0.17
annPX6OPrg1qxPA,False,2014-09-03,1356,36,1200.0,0.12
upWfgD6AuGsamIo,True,2019-09-17,1022,163,2600.0,0.11
QXVr9EomD1F2ekP,False,2015-08-11,1985,11,2200.0,0.19
sywK29EbiGV8vQD,False,2014-06-09,1571,86,2200.0,0.16
hJHJ73o2vo0gpOA,True,2019-09-24,1266,19,2000.0,0.21
6lfK9AFSQO5nmCo,False,2016-04-25,757,70,2300.0,0.18
1kTldzRG6XwXxrd,True,2019-07-15,331,67,2000.0,0.26
av8UgXZGNLrz4G6,True,2019-10-21,118,147,1900.0,0.04
55zKPdcyrNyOhsA,False,2015-06-19,309,224,2500.0,0.25
5eGc6TEoIFuizML,False,2015-09-03,778,17,2000.0,0.26
V01P23yH6VK50TC,False,2015-08-21,165,94,1900.0,0.06
tbK6QWoOXUJuO6q,False,2015-07-10,901,32,2100.0,0.22
TjYzy4oP6GgsPRF,True,2019-07-29,652,124,2300.0,0.49
cUmNlIIylRkXZ60,False,2015-06-27,637,147,2700.0,0.43
bScIYSyBqorhTOp,False,2016-07-04,885,56,2200.0,0.21
wZf5juNJGqURMl5,False,2016-06-19,330,84,1500.0,0.16
beQsfD8c1IaQs2V,True,2019-09-27,1869,84,1800.0,0.09
DEL9sDdE5mweFXp,False,2014-05-01,2289,250,2600.0,0.15
dA5Fu75DwBaIL2o,False,2016-06-01,196,65,2200.0,0.27
4Vd3mjvihmy6QBW,False,2016-05-04,724,259,3000.0,0.04
d5OE3CCHAjlVrb3,False,2016-07-04,243,2,1600.0,0.07
Jrmcu6BkrDjMXfo,False,2016-08-19,328,85,1800.0,0.02
uIZLq7ZZzACa16g,False,2016-07-07,28,26,1700.0,0.02
U1qpsRHKvHnbE0q,False,2016-07-13,31,216,2900.0,0.49
3la19D7LIq9LVvw,True,2016-07-17,980,105,1500.0,0.21
2mB30xXNeIRwA6n,True,2019-07-15,1031,16,2100.0,0.36
AucrbFe8qRiIPI6,True,2019-07-23,587,126,1700.0,0.27
RLQcB5oqfC6OYyh,False,2015-06-16,397,135,2500.0,0.23
O0qIp1X5OpqVMOz,False,2015-06-01,1154,42,2200.0,0.28
gv71NduIG9BP1dh,True,2019-10-04,2243,56,2000.0,0.33
ewxBcOdZU3a4EZQ,True,2019-07-27,1051,2,1800.0,0.2
ofdDvQrahj9hWsR,False,2016-05-26,233,322,3400.0,0.39
w2PIlY34iVCopKx,False,2019-07-20,465,19,1800.0,0.17
KfIdURxKLXqDES1,True,2019-07-15,319,168,1800.0,0.38
znPmz7k03YG2Zqr,True,2019-10-05,1520,31,1900.0,0.21
fFutqlLEmgBT0xE,True,2019-06-09,1591,23,1600.0,0.1
uii3H7LLxKMbNhy,False,2016-08-26,1036,19,2100.0,0.38
018UYDwpGKN0glj,False,2015-05-21,546,87,1900.0,0.01
gyRDScOUtir4UtU,True,2019-10-22,1366,123,1700.0,0.25
ltt28mRK9TDhbbR,False,2016-08-13,35,24,2000.0,0.31
gOkHIo4ElmU7uYQ,True,2019-10-05,232,44,2200.0,0.21
ared8a4Qbn2wBlR,False,2017-06-17,1000,227,1300.0,0.41
SEfbHH1mZnAsh9k,True,2019-07-20,323,89,2600.0,0.21
aKli1ArCjmAu5Si,False,2015-09-20,205,75,2000.0,0.21
NYgQSkwFUisPEUU,False,2015-07-18,56,80,2000.0,0.21
gIlbRlmXDygjIqM,True,2019-09-03,282,38,2300.0,0.26
x6FamesDIOhF1Ju,True,2019-06-04,1292,5,1700.0,0.25
tONLx2ax2lbjIP4,True,2019-11-16,376,65,2100.0,0.12
cuLkktCEMa8zKCF,False,2015-03-31,727,64,2100.0,0.37
VtA1sYEH84UvMMH,True,2019-11-23,2308,99,1600.0,0.23
Sok7S3J2kMXzv4H,False,2018-06-28,557,97,2500.0,0.16
RtblMZLFQga0Zy5,False,2018-01-11,1206,49,2600.0,0.2
eEXM3AVF2YpzI9I,False,2017-12-09,577,33,2100.0,0.25
ZwSFbQzzdCyCN6x,True,2019-06-04,1106,31,1700.0,0.09
6Xz1j1nx00kgPDu,True,2019-08-31,679,130,1500.0,0.21
FdSzQYlp2NJs5gg,True,2019-07-10,739,144,1600.0,0.14
NKAKvS2D4syFsXc,False,2017-11-14,225,55,2300.0,0.16
6SSg9YdKStkGtaI,False,2016-04-26,83,122,2200.0,0.14
oNcufaihmQzCUlq,False,2015-06-17,818,31,1800.0,0.05
tCNHIr85RPGyeHC,True,2016-03-16,253,57,1600.0,0.25
WgfffCBRziv4Ik4,True,2019-09-03,1112,48,1700.0,0.02
IrQg6d5PCE6jGKE,False,2015-10-24,1128,23,2100.0,0.24
VK8k9BF2F2bx6Lz,True,2019-09-22,1044,22,2700.0,0.62
kSndRis2iv7SwR5,False,2015-05-31,29,90,2100.0,0.23
kDOkmkTzYQ4eFcJ,False,2018-01-30,709,15,1800.0,0.03
e1qpTGwG9A8OwkF,True,2019-06-05,531,23,2300.0,0.27
9ndib9DlagWTYlG,True,2019-09-01,1007,21,2500.0,0.42
4UnH4qfWJI06iQa,True,2019-09-01,203,15,2400.0,0.3
AmLvJ5GxznjGo5N,False,2015-12-16,1297,3,2000.0,0.15
CpUefqhgKMFwgKA,True,2019-08-12,927,94,2500.0,0.25
nUhDs2oB2L7Gahz,True,2019-08-31,1327,18,1800.0,0.1
J16ND1WqhDAQOh0,True,2019-01-07,744,114,2400.0,0.17
5le2RdWVUkrNEVi,False,2015-03-28,2174,13,2100.0,0.19
O9z2pSqea6vZ59v,False,2015-03-27,1933,180,2700.0,0.01
TH59AVfskx606p8,False,2014-10-13,607,90,2100.0,0.36
ga308xieGGxVcJf,False,2015-04-08,826,11,1600.0,0.13
HkqIxbyD5Y71VkK,True,2016-01-03,1652,143,1600.0,0.24
wsBl4frAMnYUPZq,False,2015-03-31,2137,91,2800.0,0.3
IRge7DjjvjlcmtY,True,2019-10-12,3281,42,2000.0,0.42
BRi6rasqGVH3IVx,False,2015-03-27,806,134,2400.0,0.23
In4p5Mfy7dKejYB,True,2019-08-12,415,191,1800.0,0.44
8Y6lg3lFiKVssib,False,2015-06-14,2926,132,1900.0,0.28
M22AjQIdGLTVxlD,False,2014-05-01,1796,14,2000.0,0.36
lJSDImj2rxOd1cZ,True,2019-10-12,1065,91,1700.0,0.2
3bFShCqZdHdX57C,False,2015-03-30,1751,71,2100.0,0.05
nKLCqGBPcUfdXYi,True,2019-11-25,1791,104,1900.0,0.38
DU0cyeUsdqraq7K,False,2017-10-14,925,62,2200.0,0.39
K3kjopQhdiiSjJl,True,2019-03-17,207,163,2900.0,0.33
BEAb0vBRbYKF9be,False,2017-06-09,338,151,2400.0,0.08
IfnaudeExFRvabD,False,2017-03-22,166,73,2300.0,0.19
TqnoIYCbKrL7mQQ,True,2015-10-05,1494,65,2000.0,0.04
2KJAH2DBTbVdmhV,False,2015-04-15,587,78,2100.0,0.15
9hbdktYQDypFjxB,False,2014-11-12,2239,36,2200.0,0.2
EJSuWSbb5miCrTg,False,2018-04-30,409,133,2700.0,0.32
WdDBEK282UzbAOM,False,2015-09-09,467,89,1900.0,0.02
Mrf527JOwZmwhAO,True,2015-10-13,1337,94,2400.0,0.16
VlZqUEpJlamhVLO,True,2016-02-11,608,231,2400.0,0.24
2eH7e8bY40uvLEA,False,2017-10-14,1316,74,2200.0,0.45
2DgybuqS8b7T308,False,2015-03-26,595,150,2300.0,0.12
h3q0kiLtgDGGWf2,True,2016-02-27,689,99,2500.0,0.35
Le3219dGaDYNMgz,True,2019-12-09,1463,168,1500.0,0.32
PNhAsQPapdwzuPa,True,2019-11-02,2519,52,2300.0,0.19
UUPTcbryAc4DGYN,False,2016-01-24,331,91,1600.0,0.26
iwqoRuXDI5u3fM5,False,2015-08-10,808,170,2800.0,0.36
bDH8sLnb5CAVjQO,False,2017-05-26,1161,91,2200.0,0.37
7LokRzfJvVbOvzU,False,2015-09-22,349,72,2000.0,0.17
MoSVCy6ln9MjowU,False,2015-12-14,1026,223,3200.0,0.32
0qNt2NCRT8ezApn,True,2015-09-30,891,92,2400.0,0.18
z5l744DwuCQLgDE,True,2019-03-06,1572,30,1800.0,0.54
drkyMj3QTWFdr7U,True,2019-02-12,198,19,2400.0,0.23
ZEAmipS5m04GkhG,False,2016-01-31,42,65,1600.0,0.24
EiQF8uhRVAuzbrz,False,2015-12-06,190,178,2500.0,0.14
RgBAXQipDvl5NB8,True,2019-08-28,2066,39,2300.0,0.49
ckLvjDKdadbEuTC,False,2017-09-25,1035,132,2100.0,0.31
HX0sqyqE0ynbBMo,True,2017-08-31,495,38,2000.0,0.24
ndquYzaHPXnjOuP,False,2017-09-20,785,118,2200.0,0.12
Q9QcPKilyYr9DT6,True,2019-08-05,1331,141,1200.0,0.2
oXEnU1e68GNj6yZ,True,2019-07-14,403,50,2400.0,0.53
6RWReDFnJdSyw8g,True,2017-09-04,918,50,2100.0,0.28
Z4eo4GlSIEvXTAH,True,2019-08-06,898,344,3900.0,0.47
0jxUAkz3GAFgBrg,True,2019-10-13,1827,44,2300.0,0.26
CKHawymgACfzDL3,False,2014-11-08,2049,96,2000.0,0.15
tIvuPJrJRG3tpL4,True,2019-05-08,845,53,2600.0,0.17
gxRaISUfCLBSofc,False,2015-12-09,1198,60,2000.0,0.39
83sLQkRABR0y42B,True,2019-08-21,439,13,2000.0,0.08
isY1T8wuABcxxkr,False,2016-05-12,192,147,2200.0,0.14
aHp8u5qijXHdBUW,True,2019-05-08,1065,73,2100.0,0.17
gfadso2EdDkKcMX,False,2014-06-24,921,144,2300.0,0.25
eKB02IVc56dYLEm,False,2014-05-01,1360,109,1900.0,0.15
cq76MajNhEmtDKz,True,2016-03-10,281,149,2600.0,0.34
OqzM5Nrzb7ndlg7,True,2019-05-22,582,33,1800.0,0.06
6WvT73q3Tp1fy9Z,True,2019-05-17,486,178,1000.0,0.13
lrdK9ROMtKY7YEh,True,2019-10-06,1395,58,1800.0,0.04
ozxivimsA2CxOax,False,2016-04-12,1508,22,2100.0,0.39
0QYQ4fKuLizRiC8,True,2016-01-24,1329,90,2600.0,0.37
4icdEfbE2kagZVl,False,2016-09-16,554,26,1400.0,0.19
7kcHpHBjkZflzyM,True,2019-08-27,1703,8,1900.0,0.21
DeXjQrcTxTqAG7L,True,2019-06-11,519,8,2200.0,0.25
AhtcqEkxdjSJtYX,False,2016-01-14,599,128,1900.0,0.01
awXFoxz8mzVvLWO,False,2014-06-04,606,251,2800.0,0.44
eO7tgRR5dr0arcz,False,2016-04-24,2549,74,2100.0,0.32
dnrq011oZYDCsxA,False,2014-06-02,1483,163,2300.0,0.29
BhPaOUJKxuavnBt,False,2016-03-15,998,123,1600.0,0.31
km4tqTTWrZCgmpD,False,2016-04-27,1414,115,1600.0,0.04
MklK49GUumxMboJ,False,2014-07-10,883,115,2100.0,0.05
RSqoHfaSrhaILu2,True,2019-10-07,530,16,2500.0,0.29
wBropjjGiea1856,True,2019-12-17,1825,18,2300.0,0.39
OcGWnAGaRgI6JfB,False,2017-08-12,364,107,1400.0,0.2
DhQ3fqyHavyHpT2,False,2017-08-10,893,165,1400.0,0.13
SfTje8VKJ5FE8C2,False,2017-07-31,132,88,2300.0,0.25
HBe21e5BE9KtOvI,False,2017-07-31,1624,91,2100.0,0.35
SPXPk1rdagAtKut,False,2017-09-19,284,95,2200.0,0.17
APi3LcDXNCvapay,True,2019-03-16,17,22,2100.0,0.3
3oLEJ2s8Rw4v0P0,True,2017-04-11,1158,87,2800.0,0.2
CrIPGWioQWEXvUb,False,2017-04-02,965,42,2400.0,0.36
45im8bjHUwH4xEl,False,2019-03-17,804,105,2300.0,0.51
esaYsl5zQDvxuDB,False,2017-03-06,1363,12,1500.0,0.21
04piF3ciJ9Revn3,False,2016-04-26,1048,67,2200.0,0.08
VhMr9zfdhYbjAih,False,2016-04-25,381,106,1900.0,0.18
tyeiYTj0uWdHUxT,False,2016-01-20,692,13,2100.0,0.17
H1XDCaLrEcH0jYX,True,2019-05-03,705,90,1200.0,0.09
1UaDTGJ9wv58qf0,True,2019-06-08,521,234,1000.0,0.01
CnrV5PlXlbrPPZh,False,2017-09-03,517,14,2100.0,0.26
M7lsiMCPnyVSjIz,False,2014-05-27,1313,123,2100.0,0.24
xIRtDHEjKejTDk1,True,2018-06-26,155,9,2500.0,0.71
MZbQY2QtWx3qSZo,False,2016-05-31,659,155,2800.0,0.39
tMvGXvsqwhVJXSm,False,2016-05-28,224,65,1800.0,0.08
fOMswyjhFhYIPud,False,2014-05-01,2890,85,1800.0,0.33
rHnciBj9NayE5q0,True,2019-09-03,838,101,1800.0,0.15
pP1DfKKZBep8eHd,True,2018-09-02,932,102,2700.0,0.14
TfcwoNxzEuC5T5j,True,2019-01-21,1484,118,1900.0,0.06
q4tqLltCTNFnl2v,False,2014-05-01,2778,289,3100.0,0.32
z4y0g7Bmg8TzUc9,True,2018-09-27,73,70,2600.0,0.39
yW2yGrGXQOWgMZM,True,2018-02-26,57,201,2500.0,0.04
LUt9SlT25AhN6i9,True,2018-06-19,256,89,1500.0,0.07
RcTrKecebmyN9I3,False,2014-05-01,1249,2,1100.0,0.1
pH7BoNwmTmqWDXy,False,2019-01-10,36,76,2900.0,0.53
FXFTYfQIMYPWgTN,True,2018-10-10,190,126,1200.0,0.01
Kx4d79lvGglbqvM,True,2019-09-01,1567,151,2600.0,0.28
zqKpppIgNpxxz7B,True,2018-10-31,591,108,2600.0,0.42
B860FcKPokMEDd6,True,2018-12-04,833,25,2200.0,0.04
yOmHNckWIaa2Yr8,False,2017-01-16,743,52,2400.0,0.24
vurSrJrgDNMGSec,False,2016-05-16,1126,76,2500.0,0.03
1jyMnvHndszHYYB,False,2016-05-30,249,128,2600.0,0.36
1RnxHuxivh2mZWu,False,2014-06-22,1844,82,2400.0,0.24
1ILIv5rcVkSSjoi,True,2018-09-10,376,174,900.0,0.06
asgMCwO9rZo5UIw,True,2017-02-26,874,82,1900.0,0.02
ER5xh5P30TaVQ8S,False,2016-07-17,441,74,2800.0,0.58
OjDqOT7Z3rS5wWq,False,2016-09-03,1122,27,2400.0,0.38
mVI1MSl90XxW7p8,True,2019-09-23,406,2,2400.0,0.18
IHEFtg9pOQt9CXs,False,2014-06-16,1491,156,1000.0,0.15
VuYnU1pDhlJEGtb,True,2016-08-01,345,53,1800.0,0.11
rHfB4gQfpmJ7dY9,False,2014-06-13,1520,182,2500.0,0.11
abAKoi6vrlksRqb,True,2019-04-02,1118,41,2100.0,0.24
lqJBYKW7pgmnJw7,True,2019-04-06,872,54,2700.0,0.66
vpFVAUsMgxOP0Hu,False,2016-07-01,1037,61,1700.0,0.25
j1dOZxiQlH5u0qn,False,2016-04-12,1348,31,1700.0,0.15
Ax8uUOUwMBhPwFR,False,2016-01-23,296,127,2400.0,0.33
rlWXoCGl6ctvtqS,True,2019-09-16,908,112,1500.0,0.16
hPYhdGRxN8i55JI,True,2019-04-08,454,106,1900.0,0.18
LmlosthMvVxYekO,False,2016-09-13,1271,12,1900.0,0.07
kwYrSPhziQZ5rcW,True,2019-03-21,604,152,3400.0,0.45
IIPDLGupDpfahiD,True,2019-03-17,319,2,2400.0,0.42
dGR5AtVpwmJW8xR,False,2019-03-17,377,34,1600.0,0.21
BOqZievBha7MLJ1,False,2017-09-19,902,25,1700.0,0.1
kXnVutUkfkCf1Ny,False,2016-08-25,780,90,900.0,0.1
5H1lbl8gfFlm7nx,False,2014-06-06,1453,60,2200.0,0.32
eOLkpj9TpipQW2v,False,2016-08-24,415,242,2700.0,0.17
c2UyjO30U9VESiu,True,2019-09-23,1710,94,2500.0,0.26
7tXxEkRg22RmHa1,True,2017-02-07,844,22,2000.0,0.21
0jfKSnqJkgZDaiN,True,2019-07-29,979,6,2300.0,0.38
5MyDxXboTyL8m12,False,2019-03-17,823,16,1900.0,0.34
ebJwPOFvVTYGK6T,True,2015-10-21,835,21,1800.0,0.07
OVKvNLbd97XdvtE,False,2015-04-13,1517,43,1500.0,0.01
6y0wqzWEjstOGUI,False,2016-12-09,29,85,2400.0,0.37
paGSltVO97kJ6mJ,True,2019-09-22,243,66,2900.0,0.25
k4fbahq6HqJXVHc,True,2019-09-18,1765,53,2000.0,0.42
sP6TfDtBws91qsU,False,2016-10-11,1065,67,2500.0,0.32
qBovYsVjYZRXJCK,False,2014-06-13,1922,90,2200.0,0.19
58ZPUTxBBZUQxzj,True,2019-09-21,2545,53,900.0,0.18
ofNy1O33kxadPFH,False,2016-11-26,1139,17,2200.0,0.19
AMbNulV9gM7HAHB,True,2018-10-28,185,78,2400.0,0.21
kRwwTkCqDmUeu4N,False,2015-02-24,1235,87,1900.0,0.06
X1sGv1pZPJRoRbN,False,2014-05-01,2416,29,1400.0,0.09
TWRnI4SBUdmaCzj,False,2015-03-26,1640,34,1900.0,0.16
XQDQ6k0CgGgYJTz,True,2019-08-18,397,44,2200.0,0.1
8pK0hgGHzZAmlS4,False,2015-04-03,2147,6,2200.0,0.25
TLUfuOqPC3zcyHG,False,2015-07-14,1605,194,3100.0,0.18
iAPKJ9ZGZbvD6sm,False,2014-06-09,767,15,1400.0,0.09
jT7X9HQZh5yDCEh,True,2019-08-25,845,7,2000.0,0.13
FCoc1vyEniyvZfD,False,2015-04-05,402,42,1400.0,0.01
1O2cUQe5yhsWor3,False,2016-11-25,475,135,2600.0,0.32
VmUJZufLjXxobVV,False,2015-07-31,1779,47,2400.0,0.28
KulJfk8WrZdQpZL,True,2019-07-31,421,26,2100.0,0.4
mhXD5OKdzXy7y6c,True,2016-11-16,747,45,2000.0,0.05
c9W9e7SmNiW2dHR,False,2015-04-05,513,11,1600.0,0.17
s8odjx5TziAqwcc,False,2017-06-29,258,51,2100.0,0.22
xBjDyxMUQaRsLTB,False,2015-07-12,950,13,1800.0,0.11
mNUeo62dsgitisz,True,2019-07-15,888,185,1700.0,0.25
o3x1MpEWALJMHoF,False,2015-03-23,1845,89,2600.0,0.23
sw7HJH81jjDbReL,True,2019-08-13,518,26,2400.0,0.25
jo38mo0Xt1ZAXXv,True,2019-10-27,2090,60,2200.0,0.27
1yxctrh8Eo9L0fP,True,2019-08-13,706,150,1200.0,0.07
IArNs1y57bsMF0g,True,2019-10-17,705,152,2100.0,0.29
SzMd3eLjIdWEpF9,False,2015-04-14,2500,60,2200.0,0.03
PGyfS24vWP209YC,False,2015-07-01,825,76,2400.0,0.31
NNpCJ4FVyrUztPy,True,2019-07-14,247,122,1600.0,0.24
IPt1kOwtr8Oev9a,True,2019-08-13,1556,28,2000.0,0.3
my8ZhfLnZm64PDj,False,2015-01-14,1011,145,1200.0,0.18
KlXUNqiLNAgayng,True,2019-10-18,235,94,2100.0,0.27
RQF7erc4tAYkFZG,False,2015-05-26,1969,17,2200.0,0.22
iX5dGlegGosXTCH,False,2015-08-08,1159,19,1600.0,0.21
yYhiR8KkkiVH98H,False,2015-08-07,702,124,2500.0,0.27
xjXd0oBO3O6pWZL,True,2019-09-07,1161,91,2900.0,0.49
2P264OV6Y4CflfL,False,2015-08-12,320,100,1800.0,0.04
7cn8B3pa6pNVaM8,False,2015-05-19,1945,39,2500.0,0.35
9LCsiT6Gdl9mA9t,False,2015-04-14,1118,69,2600.0,0.62
1tcP2fQqz0RZZeD,True,2019-08-12,141,67,2200.0,0.42
ImGcFYMQFrVv9Qf,False,2014-06-07,1381,14,1400.0,0.0
XkTIY1ZJpmejaMJ,False,2015-06-10,1086,134,1500.0,0.26
cdXV2EhGPACHX8I,False,2015-05-30,758,20,1600.0,0.14
mvFnLnb1Khzt4xI,True,2019-10-18,1105,57,2500.0,0.42
781P3aOcSoXWtpW,True,2019-07-23,790,39,1700.0,0.17
TGxoOfR0MflTNTJ,True,2019-10-26,2463,101,2100.0,0.39
gyCV5lnqCWKlUbY,True,2019-10-18,1177,1,2600.0,0.51
BI7j4PDGvdzdeRr,True,2019-10-19,1321,65,2200.0,0.34
Ziyk9JuegISyZRy,False,2015-07-17,2337,6,2500.0,0.34
rIGz177MrJu93vb,False,2015-08-11,1648,48,1900.0,0.16
qvvcp4iYdibwOtx,False,2015-08-30,1047,125,1200.0,0.15
HpUtlQ0FvVHo2RR,False,2015-05-03,700,56,1900.0,0.15
ebmwDNC0BIo9FYk,False,2015-03-28,1684,53,2000.0,0.06
h3bW84NAdTCMR8M,False,2015-04-27,120,29,900.0,0.22
rsXg01UtwTz10QJ,False,2015-03-28,1130,155,2200.0,0.01
APvgbmZEGmHNt6E,True,2015-07-29,54,334,2900.0,0.16
6SOc0bvnrLLkclz,True,2019-08-19,897,103,1500.0,0.21
4sNivkdReikDX3R,False,2015-04-22,964,62,2100.0,0.12
YeleZqtCVmOIprI,False,2014-11-23,1969,45,1800.0,0.17
GpCKtTv3OjVv4dY,False,2015-04-26,712,85,2200.0,0.27
LoXsZKelMMsRNCv,True,2019-10-18,1055,208,1200.0,0.21
MTSL1ijumeO6bIO,True,2019-07-15,1389,24,1800.0,0.13
ZYXmG4ROfgJm2TJ,False,2015-10-26,376,48,1600.0,0.16
cytmTj2u5LaNjqf,True,2019-06-30,22,93,2000.0,0.37
TnwrXcBbiKIVhJ0,False,2015-03-27,296,169,2100.0,0.19
R4LlRCglJByghFf,True,2019-07-09,588,37,2200.0,0.13
yIrOy8PS84v6BCs,False,2015-04-06,463,84,2300.0,0.33
lftoydrJWFYWhM3,True,2019-08-13,644,23,2400.0,0.25
uK4gAPMoRkZXbuR,True,2019-08-18,745,121,1300.0,0.04
bmymTytLKgNwPIP,False,2014-12-25,346,48,1400.0,0.17
HDQ9fTqQk6p9Q94,True,2019-12-09,2321,18,2000.0,0.17
5NbhFc1WYAL3vkj,True,2019-10-22,1520,39,2000.0,0.07
LrHUQKN8kkeaJQH,True,2019-08-14,817,44,2100.0,0.45
YIn2BBZDQ1n4ZMG,False,2015-05-24,522,197,2200.0,0.21
pM4FrEYgdqjTSE8,False,2015-04-29,613,19,2000.0,0.39
yQ2iO1RgUmeUDfv,False,2015-04-28,499,119,2100.0,0.2
qbWDckbjX0OcXK8,False,2015-04-30,2235,53,1700.0,0.1
hWvZTkC4ba2AYiV,False,2015-04-21,1405,136,1400.0,0.33
F8J0yal2VU7Cary,False,2015-05-02,142,341,3000.0,0.25
Czskr7AfxTbVPxL,True,2019-09-16,771,62,1900.0,0.2
mud5ZcrrzMawcqH,True,2019-08-04,331,55,2500.0,0.35
LCBFvUeycifroKV,False,2015-03-31,2408,102,2500.0,0.04
Rt2gM7rqvydrNlD,True,2019-11-05,4276,194,1700.0,0.5
CD8bxCVlag5raCY,False,2015-03-27,143,101,1900.0,0.11
E33Btk9SO0MbT4k,True,2019-10-22,1293,61,1400.0,0.17
Ik99ueFqtvo1BvL,True,2019-08-12,513,206,1600.0,0.46
s52BWyJFfGWNTt2,False,2016-08-04,877,82,1900.0,0.28
cG4Ou2JAbmsb31y,False,2016-11-05,558,26,1900.0,0.25
kJmi1lJNmtHRD1U,False,2014-06-15,1843,102,1300.0,0.25
iTGDjPCZ5hmuNye,True,2019-09-23,43,79,2400.0,0.47
TF47K0ccao10kzg,False,2015-05-28,1820,81,2400.0,0.26
0X3MgjVtUBD4Rb6,False,2019-01-23,555,143,1600.0,0.14
Vi0mdoZMPachdTR,True,2019-11-20,2490,153,3000.0,0.47
1K5kdzH8IoL0UKX,True,2019-11-11,1843,206,1300.0,0.15
jz4u1NOruZDggbc,True,2019-11-10,907,21,2400.0,0.19
b6fEyTYha5hFXud,False,2016-08-19,406,55,2200.0,0.1
nVfVMNQscuMc8aT,True,2019-11-11,2603,64,1500.0,0.03
6G5bTXcEKlwpXd8,True,2016-08-03,221,0,1600.0,0.21
rW67XXsPQjrTRtA,False,2015-05-01,2138,99,2300.0,0.05
qC8SptsIB0d5lWJ,False,2017-05-13,401,13,1900.0,0.06
NIdLJCbxk6yFquE,False,2015-05-03,1671,28,2300.0,0.37
fB18u8ojVVuCvT6,False,2015-06-01,44,117,2000.0,0.26
eU8MsfOPcleWvgC,True,2019-09-24,1206,26,2300.0,0.36
9gPiY2vMwlJPieU,True,2019-09-20,860,13,2000.0,0.07
6bMzxh1mg1dg59a,False,2014-06-13,2162,19,1800.0,0.12
WJghCFWQ6i2SKDS,True,2019-08-05,58,33,2100.0,0.26
tZTJvNT8fUt7TdC,False,2017-01-12,721,44,2100.0,0.33
iZBfdSQXlWQyZxz,True,2019-08-13,233,31,2500.0,0.3
JzZ2SOzeewMCOOl,True,2019-10-21,760,69,2100.0,0.26
TPPtKh9WNVj6h7x,False,2016-08-05,209,123,2600.0,0.18
JYLyqvlo8qwTykE,True,2019-03-17,479,141,2800.0,0.3
856We7W7tqXGx58,False,2019-08-04,181,244,1000.0,0.14
RZDjaK0ZlqaIqfh,True,2019-03-04,774,60,3000.0,0.62
OUrbHonOLJ7ulMb,True,2019-03-17,58,95,1800.0,0.3
qLgaihWP56Qz1K7,False,2017-02-09,462,25,1600.0,0.01
